name,deliver_time,discount,deliver_way,category,sub_category,maker,profit,sell_count
"SanDisk 羊皮纸, 每包 12 个",3.0,0.0,2.0,1,7,14,0.37,3.0
"Breville 炉灶, 黑色",4.8,0.24000000000000005,4.0,1,4,37,-0.023999999999999994,4.6
"Fellowes 锁柜, 蓝色",3.75,0.0,3.5,1,15,30,0.0,5.0
"Sanford 钢笔, 混合尺寸",4.0,0.4,3.2,1,16,38,-1.186,3.0
"Ibico 打孔机, 透明",3.5555555555555554,0.08888888888888889,3.3333333333333335,1,3,7,0.24222222222222223,4.555555555555555
"Boston 速写本, 蓝色",4.5,0.46666666666666673,3.8333333333333335,1,16,34,-1.93,2.6666666666666665
"Ames 邮寄品, 银色",4.636363636363637,0.0,3.6363636363636362,1,2,39,0.42,4.181818181818182
"思科 充电器, 全尺寸",4.5,0.1,3.75,2,11,40,-0.03749999999999999,2.5
"Hewlett 传真机, 彩色",3.6666666666666665,0.26666666666666666,3.3333333333333335,2,9,21,0.15,3.6666666666666665
"Tenex 盘, 工业",4.25,0.0,3.25,1,15,28,0.44,4.25
"Hamilton Beach 炉灶, 黑色",3.0,0.26666666666666666,3.3333333333333335,1,4,41,-0.04,4.333333333333333
"Hamilton Beach 烤面包机, 银色",4.444444444444445,0.044444444444444446,3.6666666666666665,1,4,41,0.09777777777777778,3.4444444444444446
"Rogers 文件夹, 蓝色",2.6666666666666665,0.0,2.888888888888889,1,15,42,0.48000000000000004,3.0
"Acme 开信刀, 蓝色",3.8461538461538463,0.09230769230769233,3.230769230769231,1,1,18,0.04307692307692309,3.230769230769231
"Stockwell 订书钉, 每包 12 个",3.8333333333333335,0.16666666666666666,3.0833333333333335,1,8,10,-0.19000000000000006,4.25
"Accos 按钉, 整包",4.142857142857143,0.2285714285714286,3.7142857142857144,1,8,26,-0.10857142857142858,3.5714285714285716
"Dania 古典书架, 白色",4.6,0.24000000000000005,3.6,3,13,32,-0.092,2.4
"Smead 文件车, 蓝色",4.75,0.0,3.25,1,15,35,0.38,2.625
"佳能 传真机, 红色",4.666666666666667,0.13333333333333333,3.3333333333333335,2,9,43,0.25333333333333335,3.3333333333333335
"松下 电话, 耐用",2.6666666666666665,0.0,2.0,2,5,44,0.12,3.6666666666666665
"Harbour Creations 运输标签, 耐用",4.6,0.0,3.6,1,12,31,0.48,3.8
"Stockwell 回形针, 混合尺寸",3.7,0.08,3.1,1,8,10,0.28800000000000003,3.4
"StarTech 打印机, 耐用",2.75,0.1,3.0,2,5,45,-0.07250000000000001,4.25
"Hoover 微波炉, 黑色",4.0,0.2,3.4,1,4,46,-0.16,3.9
"Stanley 速写本, 蓝色",1.0,0.2,1.0,1,16,47,-0.08,3.0
"Green Bar 计划信息表, 每包 12 个",1.0,0.0,1.0,1,7,9,0.06,3.0
"SanDisk 路由器, 耐用",4.0,0.0,3.0,2,10,14,0.26,2.3333333333333335
"Smead 有色标签, 红色",4.25,0.0,3.25,1,12,35,0.5,3.25
"Kraft 搭扣信封, 红色",4.166666666666667,0.0,3.5,1,2,48,0.43,4.5
"宜家 书架, 传统",2.5,0.1,2.0,3,13,49,-0.037500000000000006,2.75
"三星 信号增强器, 全尺寸",2.6666666666666665,0.13333333333333333,3.3333333333333335,2,11,20,0.29,6.0
"Kraft 邮寄品, 每套 50 个",5.0,0.0,3.75,1,2,48,0.09,3.0
"三星 充电器, 全尺寸",4.0,0.05,3.25,2,11,20,0.13375,2.625
"Elite 大剪刀, 蓝色",4.714285714285714,0.17142857142857146,3.5714285714285716,1,1,22,0.19,3.2857142857142856
"Accos 橡皮筋, 每包 12 个",3.7142857142857144,0.05714285714285715,3.0,1,8,26,0.08,3.5714285714285716
"Hon 圆形标签, 耐用",3.4,0.0,3.2,1,12,50,0.17,2.6
"Novimex 合法证物标签, 可调",3.75,0.0,3.75,1,12,16,0.21,3.75
"Harbour Creations 运输标签, 可调",3.888888888888889,0.0,3.3333333333333335,1,12,31,0.14,5.222222222222222
"Kleencut 尺子, 钢",4.0,0.1,3.5,1,1,4,0.1825,4.0
"佳能 复印机, 数字化",3.5714285714285716,0.05714285714285715,3.2857142857142856,2,9,43,0.10142857142857142,3.142857142857143
"夏普 墨水, 每套两件",4.0,0.13333333333333333,3.0,2,9,51,-0.15,3.3333333333333335
"Novimex 圆形标签, 可调",4.75,0.0,3.75,1,12,16,0.45,2.5
"Ames 外皮和封条, 回收",3.4,0.0,3.0,1,2,39,0.34,4.0
"Tenex 分层置放架, 黑色",4.285714285714286,0.17142857142857146,3.5714285714285716,3,14,28,-0.017142857142857154,3.5714285714285716
"Harbour Creations 有色标签, 可调",4.0,0.0,3.3333333333333335,1,12,31,0.15,4.333333333333333
"Eldon 框架, 优质",2.4,0.16,2.5,3,14,52,0.316,3.0
"思科 充电器, 混合尺寸",4.8,0.24000000000000005,4.0,2,11,40,-0.25999999999999995,3.6
"Wilson Jones 孔加固材料, 实惠",4.076923076923077,0.09230769230769233,3.1538461538461537,1,3,29,0.1223076923076923,3.8461538461538463
"Eldon 搁板, 金属",3.375,0.0,2.875,1,15,52,0.28,2.875
"Rogers 盘, 金属",4.857142857142857,0.0,3.5714285714285716,1,15,42,0.43000000000000005,3.7142857142857144
"Rogers 盘, 工业",4.833333333333333,0.0,4.0,1,15,42,0.44,2.6666666666666665
"Stiletto 大剪刀, 钢",4.714285714285714,0.2857142857142857,3.4285714285714284,1,1,53,-0.38999999999999996,4.0
"Novimex 折叠椅, 每套两件",4.666666666666667,0.23333333333333336,3.8333333333333335,3,6,16,0.15166666666666664,2.6666666666666665
"OIC 夹子, 整包",3.4,0.16,3.0,1,8,25,0.202,5.8
"Ames 局间信封, 银色",3.0,0.0,2.75,1,2,39,0.1,4.5
"Sanford 荧光笔, 蓝色",3.857142857142857,0.2571428571428571,3.142857142857143,1,16,38,-0.1042857142857143,4.0
"爱普生 收据打印机, 耐用",4.0,0.2,4.0,2,5,11,0.04000000000000001,2.5
"Elite 修剪器, 工业",3.3333333333333335,0.13333333333333333,2.6666666666666665,1,1,22,-0.12333333333333334,4.666666666666667
"Cuisinart 咖啡研磨机, 红色",3.0,0.0,2.6666666666666665,1,4,54,0.31,3.6666666666666665
"Elite 开信刀, 钢",2.4,0.16,2.6,1,1,22,0.354,4.4
"Avery 装订机, 回收",4.555555555555555,0.13333333333333336,3.5555555555555554,1,3,19,-0.22333333333333336,3.4444444444444446
"Eldon 闹钟, 优质",4.125,0.1,3.375,3,14,52,-0.1325,4.375
"SAFCO 扶手椅, 红色",4.0,0.13,3.6,3,6,8,0.323,3.4
"Novimex 折叠椅, 黑色",4.25,0.19999999999999998,3.4166666666666665,3,6,16,-0.25499999999999995,5.25
"Memorex 键区, 回收",4.2,0.0,3.2,2,10,17,0.12,4.4
"Fiskars 修剪器, 锯齿状",3.0,0.16,3.0,1,1,1,0.354,4.4
"Hewlett 复印机, 彩色",3.5,0.1,3.25,2,9,21,0.0675,3.5
"Eaton 计划信息表, 每包 12 个",3.6,0.0,3.0,1,7,55,0.05,4.0
"Acco 孔加固材料, 透明",3.2,0.16,3.0,1,3,56,0.302,5.8
"KitchenAid 微波炉, 黑色",3.5,0.0,2.5,1,4,5,0.02,2.0
"诺基亚 办公室电话机, 整包",4.5,0.2,3.5,2,11,15,0.185,3.0
"贝尔金 路由器, 耐用",4.2,0.08,3.4,2,10,57,0.34199999999999997,2.6
"Fiskars 大剪刀, 工业",3.5714285714285716,0.05714285714285715,3.142857142857143,1,1,1,0.19,4.571428571428571
"Stanley 铅笔刀, 整包",3.0,0.36,3.2,1,16,47,-0.8019999999999999,4.2
"Avery 装订机, 实惠",3.2,0.24000000000000005,2.8,1,3,19,0.25999999999999995,2.4
"StarTech 收据打印机, 红色",1.8333333333333333,0.26666666666666666,2.3333333333333335,2,5,45,-0.35999999999999993,3.1666666666666665
"GlobeWeis 马尼拉纸信封, 银色",3.8333333333333335,0.0,3.0,1,2,2,0.09999999999999999,2.8333333333333335
"罗技 记忆卡, 耐用",2.3333333333333335,0.13333333333333333,2.3333333333333335,2,10,27,0.37666666666666665,4.333333333333333
"诺基亚 办公室电话机, 全尺寸",3.5,0.16,2.8,2,11,15,0.126,4.9
"Smead 锁柜, 单宽度",3.0,0.0,2.6666666666666665,1,15,35,0.08,3.5555555555555554
"Kraft 搭扣信封, 银色",3.111111111111111,0.0,2.7777777777777777,1,2,48,0.4600000000000001,3.111111111111111
"Elite 美工刀, 工业",3.2857142857142856,0.05714285714285715,2.7142857142857144,1,1,22,0.19,2.4285714285714284
"Hon 摇椅, 红色",3.857142857142857,0.2857142857142857,3.142857142857143,3,6,50,0.18571428571428575,5.857142857142857
"贝尔金 闪存驱动器, 回收",4.333333333333333,0.4000000000000001,3.6666666666666665,2,10,57,-0.62,5.0
"惠普 墨水, 彩色",3.5714285714285716,0.05714285714285715,3.2857142857142856,2,9,12,0.3871428571428571,3.7142857142857144
"Enermax 键盘, 实惠",3.6,0.16,3.2,2,10,58,0.15,5.2
"Cardinal 订书机, 透明",4.222222222222222,0.2222222222222222,3.4444444444444446,1,3,3,-0.1922222222222222,6.222222222222222
"Hon 运输标签, 白色",2.5,0.0,2.5,1,12,50,0.12,4.5
"Avery 孔加固材料, 透明",4.7272727272727275,0.14545454545454548,3.6363636363636362,1,3,19,0.04454545454545455,3.8181818181818183
"Avery 订书机, 回收",3.357142857142857,0.05714285714285715,2.9285714285714284,1,3,19,0.0028571428571428437,5.0
"Harbour Creations 扶手椅, 可调",4.090909090909091,0.1,3.272727272727273,3,6,31,0.3663636363636364,4.363636363636363
"Advantus 门挡, 耐用",4.8,0.08,3.8,3,14,33,0.0020000000000000018,4.0
"Harbour Creations 合法证物标签, 红色",4.285714285714286,0.0,3.5714285714285716,1,12,31,0.32,3.2857142857142856
"OIC 橡皮筋, 金属",4.25,0.2,3.5,1,8,25,-0.09500000000000001,3.0
"Bush 古典书架, 金属",4.571428571428571,0.05714285714285715,3.4285714285714284,3,13,59,-0.05142857142857144,4.142857142857143
"KitchenAid 冰箱, 银色",2.6666666666666665,0.0,3.0,1,4,5,0.36000000000000004,2.3333333333333335
"Tenex 相框, 一包多件",2.5,0.13333333333333333,2.1666666666666665,3,14,28,0.1433333333333333,4.0
"Cameo 搭扣信封, 回收",4.285714285714286,0.0,3.2857142857142856,1,2,60,0.01,6.0
"SAFCO 折叠椅, 红色",3.9166666666666665,0.125,3.3333333333333335,3,6,8,0.02,2.5
"Tenex 文件夹, 工业",3.0,0.0,2.909090909090909,1,15,28,0.0,3.0
"Enermax 笔记本, 每包 12 个",3.875,0.0,3.125,1,7,58,0.26,3.125
"Avery 合法证物标签, 红色",4.0,0.0,3.6,1,12,19,0.11000000000000001,3.4
"Kleencut 修剪器, 钢",2.6666666666666665,0.13333333333333336,2.7777777777777777,1,1,4,0.08333333333333333,3.6666666666666665
"Tenex 闹钟, 耐用",4.0,0.06666666666666667,3.6666666666666665,3,14,28,0.13333333333333333,2.8333333333333335
"Breville 微波炉, 银色",4.5,0.13333333333333333,3.6666666666666665,1,4,37,-0.1366666666666667,5.333333333333333
"Harbour Creations 扶手椅, 红色",3.4,0.04,3.4,3,6,31,0.41600000000000004,3.2
"Acme 剪刀, 工业",4.0,0.06666666666666667,3.1666666666666665,1,1,18,0.11166666666666668,3.0
"三星 办公室电话机, 全尺寸",4.0,0.16,3.6,2,11,20,0.21599999999999997,4.8
"Deflect-O 门挡, 优质",4.0,0.0,3.75,3,14,61,0.26,4.0
"Stockwell 橡皮筋, 混合尺寸",4.375,0.0,3.625,1,8,10,0.43499999999999994,3.25
"思科 耳机, 混合尺寸",4.857142857142857,0.0,3.4285714285714284,2,11,40,0.14,4.142857142857143
"Rogers 文件夹, 单宽度",4.428571428571429,0.0,3.7142857142857144,1,15,42,0.29,3.857142857142857
"罗技 闪存驱动器, 可编程",3.875,0.15000000000000002,3.125,2,10,27,0.0012500000000000011,3.125
"Brother 墨水, 红色",3.25,0.0,3.25,2,9,62,0.21,3.25
"Stockwell 订书钉, 整包",3.6923076923076925,0.1846153846153846,3.3846153846153846,1,8,10,0.27384615384615385,3.6153846153846154
"Eaton 信纸, 优质",3.3333333333333335,0.0,3.1666666666666665,1,7,55,0.42,4.0
"Breville 咖啡研磨机, 银色",2.8,0.16,2.6,1,4,37,-0.15400000000000003,1.6
"Eldon 盒, 工业",3.4545454545454546,0.0,3.3636363636363638,1,15,52,0.18999999999999997,5.0
"Hamilton Beach 炉灶, 白色",3.8333333333333335,0.06666666666666667,3.1666666666666665,1,4,41,0.13333333333333333,3.8333333333333335
"松下 收据打印机, 白色",2.5,0.2,2.5,2,5,44,-0.32,2.0
"苹果 信号增强器, 混合尺寸",3.5,0.20000000000000004,2.8333333333333335,2,11,63,0.16,3.3333333333333335
"Eldon 分层置放架, 耐用",3.5555555555555554,0.08888888888888889,3.2222222222222223,3,14,52,0.19555555555555557,5.111111111111111
"Novimex 沙滩椅, 红色",4.0,0.125,2.75,3,6,16,0.2825,2.75
"Wilson Jones 装订机, 回收",3.1666666666666665,0.13333333333333333,2.6666666666666665,1,3,29,0.21666666666666665,3.8333333333333335
"Boston 记号笔, 蓝色",3.4,0.12000000000000002,3.0,1,16,34,0.254,3.2
"惠普 传真复印机, 红色",4.666666666666667,0.0,3.8333333333333335,2,9,12,0.29,2.6666666666666665
"Smead 运输标签, 红色",3.0,0.0,3.0,1,12,35,0.44,2.375
"Ames 商业信封, 每套 50 个",4.4,0.0,3.6,1,2,39,0.12,5.4
"Wilson Jones 订书机, 透明",5.090909090909091,0.14545454545454548,3.6363636363636362,1,3,29,0.054545454545454536,3.6363636363636362
"Chromcraft 木桌, 组装",4.0,0.425,4.0,3,17,64,-0.135,6.5
"贝尔金 记忆卡, 耐用",3.3333333333333335,0.06666666666666667,3.0,2,10,57,0.17833333333333334,2.6666666666666665
"Barricks 圆桌, 长方形",3.5,0.425,3.0,3,17,65,-0.9,3.0
"松下 喷墨打印机, 耐用",4.25,0.0,4.0,2,5,44,0.04,2.5
"Cuisinart 咖啡研磨机, 白色",3.8333333333333335,0.13333333333333333,3.0,1,4,54,0.19333333333333336,4.0
"摩托罗拉 充电器, 混合尺寸",4.125,0.15000000000000002,3.5,2,11,66,-0.10124999999999999,5.625
"OIC 夹子, 每包 12 个",4.75,0.2,3.75,1,8,25,0.185,3.5
"Ames 外皮和封条, 银色",3.8,0.0,3.6,1,2,39,0.07,2.8
"Stockwell 图钉, 每包 12 个",3.2777777777777777,0.08888888888888889,3.0,1,8,10,0.36777777777777776,3.8333333333333335
"Wilson Jones 标签, 耐用",3.6,0.32,3.2,1,3,29,-0.38,3.0
"Hewlett 复印机, 红色",4.4,0.16,3.6,2,9,21,0.18799999999999994,4.6
"诺基亚 音频基座, 混合尺寸",4.0,0.0,3.3333333333333335,2,11,15,0.43,2.6666666666666665
"Enermax 备忘录便条, 优质",4.5,0.0,3.8333333333333335,1,7,58,0.19999999999999998,5.166666666666667
"Accos 夹子, 整包",2.4,0.16,2.4,1,8,26,-0.15400000000000003,2.4
"GlobeWeis 局间信封, 红色",4.5,0.0,4.0,1,2,2,0.44,5.5
"松下 收据打印机, 多色",3.2,0.08,3.2,2,5,44,0.4,3.2
"Boston 钢笔, 混合尺寸",3.5714285714285716,0.2857142857142857,3.2857142857142856,1,16,34,-0.53,3.5714285714285716
"Kleencut 美工刀, 锯齿状",3.3333333333333335,0.0,2.6666666666666665,1,1,4,0.34,2.6666666666666665
"Enermax 记忆卡, 实惠",4.571428571428571,0.1142857142857143,3.2857142857142856,2,10,58,0.14285714285714288,2.7142857142857144
"Barricks 电脑桌, 长方形",3.5,0.55,3.25,3,17,65,-0.17250000000000001,3.75
"SAFCO 扶手椅, 黑色",4.111111111111111,0.17777777777777778,3.5555555555555554,3,6,8,0.07111111111111111,2.6666666666666665
"贝尔金 键盘, 实惠",3.3333333333333335,0.26666666666666666,3.6666666666666665,2,10,57,0.28,2.6666666666666665
"Avery 可去除的标签, 可调",3.5,0.0,3.0,1,12,19,0.45,3.0
"Acco 订书机, 耐用",2.625,0.0,2.625,1,3,56,0.27,3.75
"施乐 信纸, 多色",3.857142857142857,0.0,3.4285714285714284,1,7,67,0.48,3.2857142857142856
"诺基亚 充电器, 混合尺寸",3.8,0.08,3.2,2,11,15,0.4,5.2
"诺基亚 智能手机, 混合尺寸",3.8,0.16,3.4,2,11,15,0.33999999999999997,4.8
"Kleencut 开信刀, 钢",4.75,0.2,3.5,1,1,4,-0.25499999999999995,5.0
"Fellowes 锁柜, 工业",4.166666666666667,0.0,3.5,1,15,30,0.48,5.0
"Tenex 盒, 金属",3.6,0.0,3.2,1,15,28,0.32,4.2
"Avery 标签, 实惠",3.142857142857143,0.1142857142857143,2.857142857142857,1,3,19,0.40285714285714286,4.0
"Acco 标签, 耐用",3.3333333333333335,0.0,3.3333333333333335,1,3,56,0.26,3.6666666666666665
"Enermax 鼠标, 可编程",3.6,0.16,3.6,2,10,58,-0.192,5.0
"SanDisk 闪存驱动器, 回收",3.5,0.0,3.0,2,10,14,0.08,3.5
"Stiletto 大剪刀, 工业",4.142857142857143,0.05714285714285715,3.5714285714285716,1,1,53,0.06857142857142857,4.142857142857143
"Enermax 键盘, 回收",4.333333333333333,0.17777777777777778,3.6666666666666665,2,10,58,0.13,4.111111111111111
"Novimex 运输标签, 可调",4.2,0.0,3.0,1,12,16,0.12,3.2
"BIC 铅笔刀, 金属",4.0,0.27999999999999997,3.6,1,16,68,-0.8540000000000001,1.8
"Kleencut 剪刀, 锯齿状",4.25,0.05,3.75,1,1,4,0.2525,4.375
"Novimex 运输标签, 白色",4.833333333333333,0.0,3.3333333333333335,1,12,16,0.4699999999999999,4.5
"Breville 炉灶, 红色",3.2,0.0,3.0,1,4,37,0.31,2.6
"Office Star 摇椅, 每套两件",3.6,0.11000000000000001,3.0,3,6,24,-0.13299999999999998,4.5
"罗技 记忆卡, 可编程",3.3333333333333335,0.0,2.6666666666666665,2,10,27,0.11,2.6666666666666665
"松下 电话, 白色",3.2,0.0,3.0,2,5,44,0.07,4.2
"摩托罗拉 信号增强器, 全尺寸",3.1666666666666665,0.06666666666666667,3.1666666666666665,2,11,66,0.3333333333333333,5.166666666666667
"摩托罗拉 办公室电话机, 混合尺寸",4.25,0.2,3.25,2,11,66,-0.12,2.75
"Smead 有色标签, 耐用",4.25,0.0,3.0,1,12,35,0.41,2.75
"贝尔金 鼠标, 可编程",3.3333333333333335,0.06666666666666667,3.1666666666666665,2,10,57,-0.021666666666666667,3.3333333333333335
"Acco 标签, 回收",3.5555555555555554,0.13333333333333336,3.3333333333333335,1,3,56,-0.06333333333333334,2.3333333333333335
"诺基亚 充电器, 整包",4.0,0.05714285714285715,3.2857142857142856,2,11,15,0.26571428571428574,3.142857142857143
"Novimex 可去除的标签, 可调",2.857142857142857,0.0,2.7142857142857144,1,12,16,0.03,3.857142857142857
"Fiskars 尺子, 工业",4.2,0.08,3.0,1,1,1,0.036,3.8
"Rogers 盘, 蓝色",2.727272727272727,0.0,2.4545454545454546,1,15,42,0.35000000000000003,4.0
"Bush 书库, 金属",3.8,0.24000000000000005,3.6,3,13,59,-0.28600000000000003,3.6
"Avery 圆形标签, 红色",4.75,0.0,3.75,1,12,19,0.2,4.5
"Hoover 炉灶, 红色",2.8333333333333335,0.13333333333333333,3.0,1,4,46,-0.03999999999999999,2.6666666666666665
"Advantus 夹子, 混合尺寸",4.0,0.24000000000000005,3.4,1,8,33,-0.244,3.2
"Acco 打孔机, 实惠",4.3,0.2,3.2,1,3,56,-0.29500000000000004,4.4
"苹果 智能手机, 全尺寸",6.25,0.1,4.0,2,11,63,0.3125,3.25
"Harbour Creations 可去除的标签, 可调",4.8,0.0,3.6,1,12,31,0.11000000000000001,3.4
"思科 信号增强器, 整包",3.0,0.16,3.0,2,11,40,-0.20199999999999996,4.0
"Green Bar 笔记本, 每包 12 个",3.875,0.0,3.25,1,7,9,0.11,3.25
"Rogers 搁板, 工业",3.8181818181818183,0.0,3.4545454545454546,1,15,42,0.019999999999999997,3.727272727272727
"StarTech 打印机, 白色",3.0,0.4,3.0,2,5,45,-0.17,2.5
"Avery 合法证物标签, 可调",3.5,0.0,3.0,1,12,19,0.18,4.0
"Kleencut 剪刀, 钢",3.0,0.08,3.4,1,1,4,-0.03200000000000002,3.0
"OIC 图钉, 整包",4.5,0.15000000000000002,3.875,1,8,25,0.01124999999999999,5.25
"松下 打印机, 白色",4.0,0.0,2.5,2,5,44,0.4,2.0
"Enermax 鼠标, 回收",3.875,0.1,3.375,2,10,58,-0.1425,3.75
"Stockwell 按钉, 金属",3.272727272727273,0.03636363636363637,2.909090909090909,1,8,10,0.43727272727272726,3.6363636363636362
"思科 办公室电话机, 全尺寸",3.4,0.32,3.4,2,11,40,-0.536,3.6
"Elite 剪刀, 工业",4.75,0.1,4.0,1,1,22,0.0675,3.25
"Jiffy 局间信封, 红色",3.4285714285714284,0.0,3.142857142857143,1,2,13,0.06,4.142857142857143
"Office Star 折叠椅, 黑色",2.5555555555555554,0.17777777777777778,2.6666666666666665,3,6,24,-0.20555555555555557,3.5555555555555554
"Novimex 可去除的标签, 耐用",4.5,0.0,3.5,1,12,16,0.13,4.75
"SanDisk 笔记本, 优质",3.8,0.0,3.2,1,7,14,0.15,2.8
"Hon 椅垫, 红色",3.4444444444444446,0.07777777777777778,2.888888888888889,3,6,50,0.22111111111111115,4.333333333333333
"Rogers 锁柜, 金属",3.0,0.0,3.142857142857143,1,15,42,0.07,3.857142857142857
"爱普生 电话, 红色",4.0,0.0,4.0,2,5,11,0.08,2.6666666666666665
"Harbour Creations 摇椅, 每套两件",3.5454545454545454,0.1,3.1818181818181817,3,6,31,0.26272727272727275,2.4545454545454546
"Enermax 令, 每包 12 个",3.7,0.0,3.2,1,7,58,0.11000000000000001,2.8
"思科 耳机, 蓝色",4.666666666666667,0.20000000000000004,3.8333333333333335,2,11,40,0.295,5.166666666666667
"苹果 耳机, 蓝色",4.0,0.2,3.75,2,11,63,0.06499999999999999,3.0
"Deflect-O 闹钟, 优质",4.166666666666667,0.06666666666666667,3.5,3,14,61,0.06666666666666667,3.0
"Bush 书架, 白色",4.3,0.2,3.5,3,13,59,0.22499999999999995,3.9
"GlobeWeis 商业信封, 每套 50 个",4.4,0.0,3.8,1,2,2,0.36,5.0
"Stockwell 夹子, 整包",4.285714285714286,0.2285714285714286,3.7142857142857144,1,8,10,0.038571428571428576,3.857142857142857
"宜家 古典书架, 金属",3.75,0.1,3.75,3,13,49,-0.085,2.25
"Office Star 摇椅, 红色",4.428571428571429,0.1142857142857143,3.4285714285714284,3,6,24,-0.11999999999999998,3.142857142857143
"Eldon 文件车, 金属",5.0,0.0,3.5,1,15,52,0.39000000000000007,5.833333333333333
"Fiskars 尺子, 蓝色",3.2,0.08000000000000002,3.066666666666667,1,1,1,-0.06599999999999999,3.8666666666666667
"Memorex 路由器, 可编程",2.6,0.16,2.6,2,10,17,-0.078,4.2
"Cardinal 装订机盖, 回收",3.4,0.24000000000000005,3.0,1,3,3,0.302,2.6
"Hamilton Beach 微波炉, 银色",3.0,0.26666666666666666,3.0,1,4,41,0.19333333333333336,2.0
"Hon 凳子, 黑色",3.2857142857142856,0.07142857142857142,2.857142857142857,3,6,50,-0.09999999999999999,2.7142857142857144
"SAFCO 扶手椅, 每套两件",4.545454545454546,0.18181818181818182,3.5454545454545454,3,6,8,0.3209090909090909,3.4545454545454546
"Brother 墨水, 彩色",4.857142857142857,0.2,3.7142857142857144,2,9,62,-0.28285714285714286,3.4285714285714284
