maker,deliver_time,discount,category,sub_category,price,deliver_way,main_user,area_div,province_div,city_div,profit_money,profit
48,5.0,0.0,1,2,1,3.75,1,2,0,0,47.0,0.09
20,4.0,0.05,2,11,2,3.25,110,0,1,0,818.125,0.13375
22,4.714285714285714,0.1714285714285714,1,1,1,3.571428571428572,100,0,0,0,116.0,0.19
26,3.7142857142857135,0.0571428571428571,1,8,1,3.0,100,0,0,2,29.571428571428573,0.08
50,3.4,0.0,1,12,1,3.2,100,2,1,0,14.2,0.17
16,3.75,0.0,1,12,1,3.75,100,2,0,2,30.25,0.21
31,3.888888888888889,0.0,1,12,1,3.333333333333333,1,0,0,2,31.33333333333333,0.14
4,4.0,0.1,1,1,1,3.5,100,2,0,2,35.75,0.1825
43,3.571428571428572,0.0571428571428571,2,9,0,3.2857142857142856,110,2,1,0,621.0,0.1014285714285714
51,4.0,0.1333333333333333,2,9,4,3.0,100,2,1,0,-39.333333333333336,-0.15
16,4.75,0.0,1,12,1,3.75,100,2,1,0,21.75,0.45
39,3.4,0.0,1,2,1,3.0,100,0,0,2,110.6,0.34
28,4.285714285714286,0.1714285714285714,3,14,1,3.571428571428572,1,0,0,2,0.4285714285714285,-0.0171428571428571
31,4.0,0.0,1,12,1,3.333333333333333,101,0,0,2,32.666666666666664,0.15
52,2.4,0.16,3,14,4,2.5,1,0,0,0,375.3,0.316
40,4.8,0.24,2,11,2,4.0,100,2,1,2,-1099.4,-0.2599999999999999
29,4.076923076923077,0.0923076923076923,1,3,1,3.1538461538461537,100,0,0,2,14.692307692307692,0.1223076923076923
52,3.375,0.0,1,15,1,2.875,110,2,1,0,178.25,0.28
42,4.857142857142857,0.0,1,15,1,3.571428571428572,11,0,0,2,452.4285714285714,0.43
42,4.833333333333333,0.0,1,15,1,4.0,1,2,1,0,340.3333333333333,0.44
53,4.714285714285714,0.2857142857142857,1,1,1,3.4285714285714284,100,0,0,2,-200.28571428571428,-0.3899999999999999
16,4.666666666666667,0.2333333333333333,3,6,1,3.8333333333333335,100,0,1,0,156.33333333333334,0.1516666666666666
25,3.4,0.16,1,8,1,3.0,100,0,0,2,138.2,0.202
39,3.0,0.0,1,2,1,2.75,100,0,0,2,99.25,0.1
38,3.857142857142857,0.2571428571428571,1,16,1,3.142857142857143,101,0,0,2,41.42857142857143,-0.1042857142857143
11,4.0,0.2,2,5,4,4.0,1,2,1,0,273.0,0.04
22,3.333333333333333,0.1333333333333333,1,1,1,2.6666666666666665,100,0,0,2,21.33333333333333,-0.1233333333333333
54,3.0,0.0,1,4,1,2.6666666666666665,110,0,1,2,204.33333333333331,0.31
22,2.4,0.16,1,1,1,2.6,100,0,0,2,139.0,0.354
19,4.555555555555555,0.1333333333333333,1,3,1,3.555555555555556,11,0,1,0,-19.33333333333333,-0.2233333333333333
52,4.125,0.1,3,14,1,3.375,110,0,0,2,-43.625,-0.1325
8,4.0,0.13,3,6,2,3.6,1,0,0,2,2273.5,0.323
16,4.25,0.1999999999999999,3,6,1,3.4166666666666665,100,0,0,2,-230.75,-0.2549999999999999
17,4.2,0.0,2,10,1,3.2,100,0,0,2,105.8,0.12
1,3.0,0.16,1,1,1,3.0,100,0,0,2,232.0,0.354
21,3.5,0.1,2,9,0,3.25,101,0,1,0,123.5,0.0675
55,3.6,0.0,1,7,1,3.0,101,0,0,2,22.8,0.05
56,3.2,0.16,1,3,1,3.0,11,0,0,2,35.0,0.302
5,3.5,0.0,1,4,0,2.5,1,2,2,1,58.0,0.02
15,4.5,0.2,2,11,1,3.5,100,2,1,0,203.75,0.185
57,4.2,0.08,2,10,0,3.4,100,2,1,0,981.2,0.3419999999999999
1,3.571428571428572,0.0571428571428571,1,1,1,3.142857142857143,100,0,0,2,193.7142857142857,0.19
47,3.0,0.36,1,16,1,3.2,100,2,0,2,-20.6,-0.8019999999999999
19,3.2,0.24,1,3,1,2.8,100,0,1,0,24.6,0.2599999999999999
45,1.8333333333333333,0.2666666666666666,2,5,4,2.333333333333333,11,0,1,0,-340.3333333333333,-0.3599999999999999
2,3.8333333333333335,0.0,1,2,1,3.0,101,0,0,0,39.333333333333336,0.0999999999999999
27,2.333333333333333,0.1333333333333333,2,10,4,2.333333333333333,1,0,0,2,768.0,0.3766666666666666
15,3.5,0.16,2,11,1,2.8,100,0,0,2,197.6,0.126
35,3.0,0.0,1,15,4,2.6666666666666665,101,0,1,2,263.1111111111111,0.08
48,3.111111111111111,0.0,1,2,1,2.7777777777777777,100,0,1,0,75.88888888888889,0.4600000000000001
22,3.2857142857142856,0.0571428571428571,1,1,1,2.7142857142857144,100,2,1,0,87.85714285714286,0.19
50,3.857142857142857,0.2857142857142857,3,6,4,3.142857142857143,110,0,0,2,561.2857142857143,0.1857142857142857
57,4.333333333333333,0.4000000000000001,2,10,1,3.6666666666666665,1,0,0,2,-343.6666666666667,-0.62
12,3.571428571428572,0.0571428571428571,2,9,4,3.2857142857142856,101,0,0,2,922.7142857142856,0.3871428571428571
58,3.6,0.16,2,10,1,3.2,100,0,0,2,294.4,0.15
3,4.222222222222222,0.2222222222222222,1,3,1,3.4444444444444446,100,0,0,2,-151.55555555555554,-0.1922222222222222
50,2.5,0.0,1,12,1,2.5,11,0,0,2,28.75,0.12
19,4.727272727272728,0.1454545454545454,1,3,1,3.636363636363636,101,0,0,2,8.272727272727273,0.0445454545454545
19,3.357142857142857,0.0571428571428571,1,3,1,2.9285714285714284,101,0,0,2,50.42857142857143,0.0028571428571428
31,4.090909090909091,0.1,3,6,2,3.272727272727273,1,0,0,2,3170.6363636363635,0.3663636363636364
33,4.8,0.08,3,14,1,3.8,101,0,0,2,47.2,0.002
31,4.285714285714286,0.0,1,12,1,3.571428571428572,11,0,0,2,52.57142857142857,0.32
25,4.25,0.2,1,8,1,3.5,100,0,1,0,11.25,-0.095
59,4.571428571428571,0.0571428571428571,3,13,2,3.4285714285714284,100,0,0,2,-11.142857142857142,-0.0514285714285714
5,2.6666666666666665,0.0,1,4,2,3.0,1,1,1,0,2072.0,0.36
28,2.5,0.1333333333333333,3,14,1,2.1666666666666665,10,0,0,2,96.66666666666669,0.1433333333333333
60,4.285714285714286,0.0,1,2,1,3.2857142857142856,100,0,0,2,1.7142857142857142,0.01
8,3.9166666666666665,0.125,3,6,1,3.333333333333333,110,0,1,0,46.66666666666666,0.02
28,3.0,0.0,1,15,1,2.909090909090909,101,0,0,0,0.0,0.0
58,3.875,0.0,1,7,1,3.125,100,0,1,2,123.125,0.26
19,4.0,0.0,1,12,1,3.6,110,2,0,0,19.2,0.11
4,2.6666666666666665,0.1333333333333333,1,1,1,2.7777777777777777,100,0,0,2,73.0,0.0833333333333333
28,4.0,0.0666666666666666,3,14,1,3.6666666666666665,100,0,1,0,107.66666666666669,0.1333333333333333
37,4.5,0.1333333333333333,1,4,0,3.6666666666666665,1,0,0,2,-320.5,-0.1366666666666667
31,3.4,0.04,3,6,2,3.4,100,2,1,0,3023.2,0.416
18,4.0,0.0666666666666666,1,1,1,3.1666666666666665,100,2,1,0,67.33333333333333,0.1116666666666666
20,4.0,0.16,2,11,1,3.6,100,0,0,2,267.8,0.2159999999999999
61,4.0,0.0,3,14,1,3.75,101,0,0,2,206.5,0.26
10,4.375,0.0,1,8,1,3.625,110,0,0,0,91.875,0.4349999999999999
40,4.857142857142857,0.0,2,11,4,3.4285714285714284,100,0,0,2,247.14285714285717,0.14
42,4.428571428571429,0.0,1,15,1,3.7142857142857135,100,0,0,2,159.71428571428572,0.29
27,3.875,0.15,2,10,1,3.125,100,0,1,0,25.875,0.00125
62,3.25,0.0,2,9,4,3.25,100,0,1,0,463.25,0.21
10,3.692307692307693,0.1846153846153846,1,8,1,3.3846153846153846,100,0,0,2,39.46153846153846,0.2738461538461538
55,3.333333333333333,0.0,1,7,1,3.1666666666666665,100,0,0,2,353.5,0.42
37,2.8,0.16,1,4,1,2.6,100,1,2,1,-51.6,-0.154
52,3.4545454545454546,0.0,1,15,1,3.363636363636364,100,0,0,2,47.81818181818182,0.1899999999999999
41,3.8333333333333335,0.0666666666666666,1,4,2,3.1666666666666665,101,2,0,2,1286.1666666666667,0.1333333333333333
44,2.5,0.2,2,5,4,2.5,100,1,2,1,-323.5,-0.32
63,3.5,0.2,2,11,4,2.833333333333333,100,2,1,0,238.66666666666663,0.16
52,3.555555555555556,0.0888888888888888,3,14,1,3.2222222222222223,100,0,0,2,162.66666666666666,0.1955555555555555
16,4.0,0.125,3,6,1,2.75,100,2,1,0,155.25,0.2825
29,3.1666666666666665,0.1333333333333333,1,3,1,2.6666666666666665,100,0,0,2,65.0,0.2166666666666666
34,3.4,0.12,1,16,1,3.0,1,0,0,0,93.2,0.254
12,4.666666666666667,0.0,2,9,4,3.8333333333333335,101,0,1,0,617.0,0.29
35,3.0,0.0,1,12,1,3.0,110,0,1,0,55.5,0.44
39,4.4,0.0,1,2,1,3.6,1,0,0,2,43.8,0.12
29,5.090909090909091,0.1454545454545454,1,3,1,3.636363636363636,100,0,0,2,57.18181818181818,0.0545454545454545
64,4.0,0.425,3,17,2,4.0,101,0,0,2,-813.5,-0.135
57,3.333333333333333,0.0666666666666666,2,10,4,3.0,100,0,1,0,335.8333333333333,0.1783333333333333
65,3.5,0.425,3,17,2,3.0,1,2,1,0,-2492.0,-0.9
44,4.25,0.0,2,5,0,4.0,10,2,1,0,145.25,0.04
54,3.8333333333333335,0.1333333333333333,1,4,1,3.0,11,0,0,2,164.33333333333334,0.1933333333333333
66,4.125,0.15,2,11,2,3.5,1,0,0,2,-527.5,-0.1012499999999999
25,4.75,0.2,1,8,1,3.75,10,0,1,0,59.25,0.185
39,3.8,0.0,1,2,1,3.6,11,2,1,0,19.4,0.07
10,3.2777777777777777,0.0888888888888888,1,8,1,3.0,100,0,0,2,79.05555555555556,0.3677777777777777
29,3.6,0.32,1,3,1,3.2,100,2,0,0,-30.6,-0.38
21,4.4,0.16,2,9,0,3.6,100,0,0,2,1241.2,0.1879999999999999
15,4.0,0.0,2,11,4,3.333333333333333,100,2,1,0,907.0,0.43
58,4.5,0.0,1,7,1,3.8333333333333335,110,0,0,2,75.33333333333333,0.1999999999999999
26,2.4,0.16,1,8,1,2.4,1,2,1,0,-24.0,-0.154
2,4.5,0.0,1,2,1,4.0,110,0,0,2,580.0,0.44
44,3.2,0.08,2,5,4,3.2,1,0,1,0,803.2,0.4
34,3.571428571428572,0.2857142857142857,1,16,1,3.2857142857142856,101,0,0,2,-19.571428571428573,-0.53
4,3.333333333333333,0.0,1,1,1,2.6666666666666665,100,2,1,0,132.33333333333334,0.34
58,4.571428571428571,0.1142857142857143,2,10,4,3.2857142857142856,101,0,1,0,222.42857142857144,0.1428571428571428
65,3.5,0.55,3,17,2,3.25,1,0,0,2,-693.25,-0.1725
8,4.111111111111111,0.1777777777777777,3,6,2,3.555555555555556,101,0,0,0,661.5555555555555,0.0711111111111111
57,3.333333333333333,0.2666666666666666,2,10,1,3.6666666666666665,110,2,0,0,156.66666666666666,0.28
19,3.5,0.0,1,12,1,3.0,1,2,1,0,54.0,0.45
56,2.625,0.0,1,3,1,2.625,100,0,0,2,248.375,0.27
67,3.857142857142857,0.0,1,7,1,3.4285714285714284,1,0,0,0,341.57142857142856,0.48
15,3.8,0.08,2,11,2,3.2,101,0,0,2,6094.0,0.4
15,3.8,0.16,2,11,4,3.4,100,0,0,2,978.4,0.3399999999999999
4,4.75,0.2,1,1,1,3.5,10,0,0,2,-136.75,-0.2549999999999999
30,4.166666666666667,0.0,1,15,4,3.5,100,0,0,2,2327.0,0.48
28,3.6,0.0,1,15,1,3.2,100,0,0,2,97.4,0.32
19,3.142857142857143,0.1142857142857143,1,3,1,2.857142857142857,11,0,0,2,43.57142857142857,0.4028571428571428
56,3.333333333333333,0.0,1,3,1,3.333333333333333,101,2,1,2,45.0,0.26
58,3.6,0.16,2,10,1,3.6,110,0,0,2,-269.4,-0.192
14,3.5,0.0,2,10,1,3.0,100,0,0,0,48.5,0.08
53,4.142857142857143,0.0571428571428571,1,1,1,3.571428571428572,110,0,0,2,90.85714285714286,0.0685714285714285
58,4.333333333333333,0.1777777777777777,2,10,1,3.6666666666666665,1,0,0,2,227.44444444444449,0.13
16,4.2,0.0,1,12,1,3.0,101,0,1,0,15.8,0.12
68,4.0,0.2799999999999999,1,16,1,3.6,101,2,2,1,-83.6,-0.8540000000000001
4,4.25,0.05,1,1,1,3.75,100,0,0,2,102.375,0.2525
16,4.833333333333333,0.0,1,12,1,3.333333333333333,100,0,0,2,108.33333333333331,0.4699999999999999
37,3.2,0.0,1,4,2,3.0,100,2,1,0,2112.0,0.31
24,3.6,0.11,3,6,4,3.0,100,0,0,2,-257.4,-0.1329999999999999
27,3.333333333333333,0.0,2,10,4,2.6666666666666665,100,2,0,0,143.66666666666666,0.11
44,3.2,0.0,2,5,1,3.0,1,0,0,2,113.8,0.07
66,3.1666666666666665,0.0666666666666666,2,11,4,3.1666666666666665,110,0,0,2,1168.0,0.3333333333333333
66,4.25,0.2,2,11,1,3.25,1,2,1,0,-56.0,-0.12
35,4.25,0.0,1,12,1,3.0,110,2,1,0,70.5,0.41
57,3.333333333333333,0.0666666666666666,2,10,1,3.1666666666666665,1,2,1,0,13.0,-0.0216666666666666
56,3.555555555555556,0.1333333333333333,1,3,1,3.333333333333333,101,0,1,0,1.3333333333333333,-0.0633333333333333
15,4.0,0.0571428571428571,2,11,2,3.2857142857142856,101,0,1,0,2739.285714285714,0.2657142857142857
16,2.857142857142857,0.0,1,12,1,2.7142857142857144,110,0,0,2,3.857142857142857,0.03
1,4.2,0.08,1,1,1,3.0,101,0,0,2,30.4,0.036
42,2.727272727272727,0.0,1,15,1,2.4545454545454546,1,0,0,2,402.6363636363636,0.35
59,3.8,0.24,3,13,0,3.6,100,2,1,2,-1005.2,-0.286
19,4.75,0.0,1,12,1,3.75,10,2,0,2,29.0,0.2
46,2.833333333333333,0.1333333333333333,1,4,2,3.0,1,0,0,0,530.3333333333334,-0.0399999999999999
33,4.0,0.24,1,8,1,3.4,110,0,0,0,-28.8,-0.244
56,4.3,0.2,1,3,1,3.2,100,0,0,2,-122.0,-0.295
63,6.25,0.1,2,11,4,4.0,10,2,1,0,600.25,0.3125
31,4.8,0.0,1,12,1,3.6,100,0,1,0,14.0,0.11
40,3.0,0.16,2,11,4,3.0,100,0,0,2,-141.6,-0.2019999999999999
9,3.875,0.0,1,7,1,3.25,100,0,1,0,56.25,0.11
42,3.8181818181818175,0.0,1,15,1,3.4545454545454546,1,0,0,2,21.363636363636363,0.0199999999999999
45,3.0,0.4,2,5,0,3.0,100,0,0,0,-297.5,-0.17
19,3.5,0.0,1,12,1,3.0,101,2,0,2,31.0,0.18
4,3.0,0.08,1,1,1,3.4,100,0,1,0,19.2,-0.032
25,4.5,0.15,1,8,1,3.875,100,0,0,2,6.25,0.0112499999999999
44,4.0,0.0,2,5,0,2.5,100,1,2,1,988.5,0.4
58,3.875,0.1,2,10,1,3.375,100,0,0,2,-93.375,-0.1425
10,3.272727272727273,0.0363636363636363,1,8,1,2.909090909090909,101,0,0,2,96.1818181818182,0.4372727272727272
40,3.4,0.32,2,11,1,3.4,101,0,0,2,-335.8,-0.536
22,4.75,0.1,1,1,1,4.0,101,2,1,0,39.5,0.0675
13,3.4285714285714284,0.0,1,2,1,3.142857142857143,10,0,0,2,57.42857142857143,0.06
24,2.555555555555556,0.1777777777777777,3,6,4,2.6666666666666665,101,0,0,2,-118.77777777777776,-0.2055555555555555
16,4.5,0.0,1,12,1,3.5,100,0,0,2,29.25,0.13
14,3.8,0.0,1,7,1,3.2,101,0,1,0,58.6,0.15
50,3.4444444444444446,0.0777777777777777,3,6,1,2.888888888888889,101,0,0,2,233.0,0.2211111111111111
42,3.0,0.0,1,15,4,3.142857142857143,101,0,0,2,265.1428571428572,0.07
11,4.0,0.0,2,5,1,4.0,101,2,1,0,77.33333333333333,0.08
31,3.5454545454545454,0.1,3,6,4,3.1818181818181817,101,0,1,0,482.8181818181818,0.2627272727272727
58,3.7,0.0,1,7,1,3.2,100,0,1,0,46.4,0.11
40,4.666666666666667,0.2,2,11,1,3.8333333333333335,1,0,0,2,616.5,0.295
63,4.0,0.2,2,11,1,3.75,100,2,1,0,170.5,0.0649999999999999
61,4.166666666666667,0.0666666666666666,3,14,1,3.5,1,0,1,0,78.5,0.0666666666666666
59,4.3,0.2,3,13,4,3.5,110,0,0,2,375.1,0.2249999999999999
2,4.4,0.0,1,2,1,3.8,100,0,0,2,145.6,0.36
10,4.285714285714286,0.2285714285714286,1,8,1,3.7142857142857135,100,0,0,2,36.0,0.0385714285714285
49,3.75,0.1,3,13,2,3.75,100,1,1,0,110.5,-0.085
24,4.428571428571429,0.1142857142857143,3,6,4,3.4285714285714284,100,0,1,0,-102.0,-0.1199999999999999
52,5.0,0.0,1,15,4,3.5,110,0,0,2,1347.5,0.39
1,3.2,0.08,1,1,1,3.066666666666667,100,0,0,2,-0.8666666666666667,-0.0659999999999999
17,2.6,0.16,2,10,0,2.6,100,0,0,2,173.2,-0.078
3,3.4,0.24,1,3,1,3.0,100,2,1,0,38.2,0.302
41,3.0,0.2666666666666666,1,4,0,3.0,1,2,2,1,458.3333333333333,0.1933333333333333
50,3.2857142857142856,0.0714285714285714,3,6,4,2.857142857142857,100,0,1,0,-44.42857142857143,-0.0999999999999999
8,4.545454545454546,0.1818181818181818,3,6,2,3.5454545454545454,101,0,0,2,2352.5454545454545,0.3209090909090909
62,4.857142857142857,0.2,2,9,4,3.7142857142857135,101,0,1,0,-365.2857142857143,-0.2828571428571428
59,3.6,0.08,3,13,4,3.2,1,2,1,0,438.6,0.24
5,5.0,0.1333333333333333,1,4,2,4.0,101,0,0,2,957.6666666666666,0.0466666666666666
33,4.363636363636363,0.1454545454545454,1,8,1,3.5454545454545454,101,0,0,2,57.36363636363637,0.1663636363636363
42,4.111111111111111,0.0,1,15,4,3.7777777777777777,101,0,0,2,454.77777777777777,0.13
24,4.142857142857143,0.1428571428571428,3,6,2,3.2857142857142856,1,0,0,2,4044.428571428572,0.3528571428571428
28,3.7777777777777777,0.0,1,15,1,3.333333333333333,101,0,0,0,78.11111111111111,0.21
35,3.6666666666666665,0.0,1,15,1,3.2222222222222223,100,0,0,2,114.33333333333331,0.36
62,3.5,0.05,2,9,0,3.0,100,0,0,2,2358.75,0.3824999999999999
20,5.0,0.0,2,11,1,4.0,100,2,1,0,105.0,0.11
42,4.4,0.0,1,15,1,3.7,11,0,1,2,190.2,0.37
41,4.428571428571429,0.1142857142857143,1,4,2,3.142857142857143,100,0,0,2,-676.4285714285714,-0.1557142857142857
19,4.142857142857143,0.0,1,12,1,3.2857142857142856,101,0,0,2,7.428571428571429,0.04
20,3.333333333333333,0.0666666666666666,2,11,4,3.1666666666666665,110,0,0,2,-16.166666666666668,-0.0999999999999999
44,4.0,0.0,2,5,0,3.0,11,2,1,0,546.0,0.15
69,4.166666666666667,0.1333333333333333,3,14,1,3.0,100,0,0,2,145.66666666666666,0.3533333333333333
33,3.5,0.0666666666666666,3,14,1,3.0,10,0,0,2,273.8333333333333,0.2883333333333333
2,4.0,0.0,1,2,1,2.6666666666666665,10,0,0,2,303.0,0.42
31,3.875,0.2,3,6,4,3.5,100,0,0,2,152.125,0.0975
28,3.4285714285714284,0.0,1,15,1,3.142857142857143,100,0,0,0,224.14285714285717,0.2599999999999999
24,4.333333333333333,0.2222222222222222,3,6,1,3.6666666666666665,100,0,0,0,-28.22222222222222,-0.0533333333333333
27,4.142857142857143,0.1714285714285714,2,10,1,3.571428571428572,100,0,0,2,-40.0,0.0357142857142857
7,4.222222222222222,0.2666666666666666,1,3,1,3.333333333333333,100,0,0,2,-6.888888888888889,-0.16
23,3.6666666666666665,0.1333333333333333,3,13,4,3.333333333333333,1,0,0,2,-920.3333333333334,-0.0766666666666666
48,4.75,0.0,1,2,1,3.75,10,2,1,0,58.5,0.11
18,3.857142857142857,0.0571428571428571,1,1,1,3.4285714285714284,100,0,1,0,43.71428571428572,0.0257142857142857
50,5.6,0.0,1,12,1,3.6,100,0,0,2,24.8,0.15
50,4.142857142857143,0.1999999999999999,3,6,2,3.142857142857143,100,2,1,0,-870.4285714285714,-0.21
70,4.333333333333333,0.3666666666666667,1,16,1,3.333333333333333,100,0,0,2,-99.66666666666669,-1.163333333333333
49,3.8333333333333335,0.0666666666666666,3,13,4,3.333333333333333,101,2,1,0,71.83333333333333,0.0116666666666666
14,5.0,0.0,1,7,1,3.25,101,0,1,0,95.0,0.24
28,4.777777777777778,0.0,1,15,4,3.6666666666666665,100,0,0,2,1738.6666666666667,0.5
23,5.4,0.0,3,13,4,3.6,100,0,0,2,1164.4,0.34
20,3.8333333333333335,0.1333333333333333,2,11,2,3.333333333333333,100,0,0,2,1291.6666666666667,0.1066666666666666
61,3.5,0.0666666666666666,3,14,1,3.0,100,0,0,2,143.16666666666666,0.3216666666666667
58,2.6666666666666665,0.0,1,7,1,2.5,100,0,0,0,227.83333333333331,0.49
9,6.0,0.0,1,7,1,3.8333333333333335,101,0,0,2,19.5,0.0499999999999999
53,4.666666666666667,0.1333333333333333,1,1,1,3.8333333333333335,110,0,1,0,-49.5,-0.15
71,5.2,0.32,3,17,3,4.0,101,0,0,2,-2245.4,-0.256
