name,brand,days,deliver_way,discount,category,sub_category,price,user_type,user_city,user_province,user_area,profit,sell_num,label
"Enermax 键盘, 实惠",Enermax,6,标准级,0.4,技术,配件,233.66666666666666,消费者,上海,上海,华东,-0.12,7,0
"Fiskars 尺子, 工业",Fiskars,0,当日,0.4,办公用品,用品,45.0,消费者,上海,上海,华东,-0.42,1,0
"Acco 孔加固材料, 耐用",Acco,4,标准级,0.0,办公用品,装订机,38.142857142857146,消费者,上海,上海,华东,0.03,5,0
"Wilson Jones 装订机, 回收",Wilson Jones,5,标准级,0.0,办公用品,装订机,62.4,消费者,上海,上海,华东,0.36,6,0
"Avery 装订机, 回收",Avery,5,二级,0.0,办公用品,装订机,62.0,消费者,上海,上海,华东,0.0,6,0
"Acco 装订机, 回收",Acco,5,标准级,0.4,办公用品,装订机,43.45454545454545,消费者,上海,上海,华东,0.08,6,0
"摩托罗拉 办公室电话机, 整包",摩托罗拉,6,标准级,0.0,技术,电话,335.5,消费者,上海,上海,华东,0.05,7,0
"Safco 书架, 金属",Safco,3,一级,0.4,家具,书架,416.0,公司,温岭,浙江,华东,-0.05,4,0
"Hon 摇椅, 可调",Hon,4,标准级,0.4,家具,椅子,372.6666666666667,公司,温岭,浙江,华东,0.02,3,0
"Stockwell 图钉, 金属",Stockwell,2,二级,0.0,办公用品,系固件,64.0,公司,温岭,浙江,华东,0.24,5,0
"SanDisk 路由器, 实惠",SanDisk,7,标准级,0.0,技术,配件,1196.3333333333333,公司,温岭,浙江,华东,0.05,1,0
"Enermax 路由器, 实惠",Enermax,6,标准级,0.0,技术,配件,1206.0,公司,温岭,浙江,华东,0.23,1,0
"Rubvermaid 灯泡, 黑色",Rubvermaid,3,一级,0.0,家具,用具,88.0,公司,温岭,浙江,华东,0.15,2,0
"Acco 标签, 回收",Acco,2,二级,0.4,办公用品,装订机,25.0,消费者,上海,上海,华东,-0.45,5,0
"Avery 标签, 回收",Avery,5,标准级,0.4,办公用品,装订机,19.0,消费者,上海,上海,华东,0.13,5,0
"Rogers 文件车, 金属",Rogers,4,标准级,0.0,办公用品,收纳具,656.4615384615385,公司,唐山,河北,华北,0.13,2,0
"Eldon 文件车, 金属",Eldon,6,标准级,0.0,办公用品,收纳具,592.4,公司,唐山,河北,华北,0.39,2,0
"Eldon 文件车, 金属",Eldon,6,标准级,0.0,办公用品,收纳具,592.4,公司,唐山,河北,华北,0.39,2,0
"Tenex 文件车, 金属",Tenex,1,一级,0.0,办公用品,收纳具,622.0,公司,唐山,河北,华北,0.32,2,0
"SAFCO 椅垫, 可调",SAFCO,2,二级,0.4,家具,椅子,174.5,公司,唐山,河北,华北,0.1,5,0
"SAFCO 椅垫, 可调",SAFCO,2,二级,0.4,家具,椅子,174.5,公司,唐山,河北,华北,0.1,5,0
"Office Star 椅垫, 可调",Office Star,4,标准级,0.0,家具,椅子,318.8,公司,唐山,河北,华北,0.47,5,0
"Sauder 书架, 白色",Sauder,6,标准级,0.0,家具,书架,697.0,公司,宁波,浙江,华东,0.27,4,0
"Sanford 画布, 蓝色",Sanford,1,一级,0.8,办公用品,美术,47.2,公司,厦门,福建,华东,-3.55,1,0
"Stanley 画布, 蓝色",Stanley,3,二级,0.0,办公用品,美术,231.0,公司,厦门,福建,华东,0.46,1,0
"Eaton 笔记本, 优质",Eaton,2,二级,0.0,办公用品,纸张,124.0,消费者,宿州,安徽,华东,0.31,6,0
"Rogers 盘, 工业",Rogers,4,标准级,0.0,办公用品,收纳具,290.0,消费者,宿州,安徽,华东,0.44,1,0
"Eldon 锁柜, 蓝色",Eldon,2,二级,0.0,办公用品,收纳具,923.6666666666666,小型企业,南昌,江西,华东,0.25,2,0
"Smead 锁柜, 蓝色",Smead,5,二级,0.0,办公用品,收纳具,926.0,小型企业,南昌,江西,华东,0.46,2,0
"Acco 打孔机, 透明",Acco,4,标准级,0.0,办公用品,装订机,138.0,消费者,合肥,安徽,华东,0.23,5,0
"Cardinal 打孔机, 透明",Cardinal,7,标准级,0.0,办公用品,装订机,131.8,消费者,合肥,安徽,华东,0.31,5,0
"摩托罗拉 充电器, 蓝色",摩托罗拉,6,标准级,0.0,技术,电话,2999.2,公司,内江,四川,西南,0.11,1,0
"苹果 充电器, 蓝色",苹果,1,一级,0.0,技术,电话,2969.0,公司,内江,四川,西南,0.21,1,0
"Kraft 邮寄品, 银色",Kraft,1,一级,0.0,办公用品,信封,187.0,公司,内江,四川,西南,0.22,2,0
"惠普 传真机, 彩色",惠普,4,标准级,0.4,技术,复印机,844.0,消费者,蛟河,吉林,东北,0.02,2,0
"惠普 传真机, 彩色",惠普,4,标准级,0.4,技术,复印机,844.0,消费者,蛟河,吉林,东北,0.02,2,0
"Hoover 炉灶, 黑色",Hoover,3,二级,0.4,办公用品,器具,1590.0,消费者,青岛,山东,华东,-0.2,5,0
"Tenex 文件夹, 蓝色",Tenex,2,二级,0.0,办公用品,收纳具,108.375,消费者,青岛,山东,华东,0.21,1,0
"Smead 文件夹, 蓝色",Smead,2,二级,0.0,办公用品,收纳具,81.6,消费者,青岛,山东,华东,0.41,1,0
"Kleencut 开信刀, 蓝色",Kleencut,5,标准级,0.0,办公用品,用品,126.2,消费者,沈阳,辽宁,东北,0.08,4,0
"Advantus 按钉, 整包",Advantus,3,二级,0.0,办公用品,系固件,67.25,消费者,沈阳,辽宁,东北,0.07,3,0
"Bush 古典书架, 白色",Bush,6,标准级,0.0,家具,书架,1937.6,公司,黄石,湖北,中南,0.05,2,0
"Safco 古典书架, 白色",Safco,5,标准级,0.4,家具,书架,1234.0,公司,黄石,湖北,中南,-0.5,2,0
"Hewlett 传真机, 红色",Hewlett,2,二级,0.0,技术,复印机,1484.6666666666667,公司,阳江,广东,中南,0.37,2,0
"爱普生 电话, 耐用",爱普生,4,标准级,0.0,技术,设备,378.3333333333333,消费者,邓州,河南,中南,0.49,7,0
"松下 打印机, 耐用",松下,3,二级,0.0,技术,设备,1244.2,公司,湛江,广东,中南,0.12,4,0
"Hon 有色标签, 红色",Hon,5,标准级,0.0,办公用品,标签,59.0,消费者,滕州,山东,华东,0.47,5,0
"Bush 书架, 传统",Bush,5,标准级,0.4,家具,书架,346.0,小型企业,北京,北京,华北,0.1,1,0
"诺基亚 信号增强器, 全尺寸",诺基亚,5,标准级,0.0,技术,电话,643.0,公司,重庆,重庆,西南,0.2,3,0
"思科 充电器, 全尺寸",思科,4,标准级,0.0,技术,电话,3046.0,公司,重庆,重庆,西南,0.11,1,0
"Avery 圆形标签, 耐用",Avery,6,标准级,0.0,办公用品,标签,35.2,消费者,西安,陕西,西北,0.49,3,0
"Harbour Creations 圆形标签, 耐用",Harbour Creations,4,标准级,0.0,办公用品,标签,33.285714285714285,消费者,西安,陕西,西北,0.03,3,0
"Smead 合法证物标签, 可调",Smead,0,当日,0.0,办公用品,标签,42.0,消费者,西安,陕西,西北,0.2,2,0
"GlobeWeis 外皮和封条, 回收",GlobeWeis,1,一级,0.0,办公用品,信封,94.0,消费者,上海,上海,华东,0.05,7,0
"Novimex 有色标签, 可调",Novimex,5,二级,0.0,办公用品,标签,48.0,公司,西宁,青海,西北,0.01,6,0
"Rubvermaid 框架, 优质",Rubvermaid,4,标准级,0.0,家具,用具,506.3333333333333,消费者,绵阳,四川,西南,0.06,6,0
"Cardinal 孔加固材料, 实惠",Cardinal,2,二级,0.4,办公用品,装订机,15.0,消费者,韩城,陕西,西北,-0.45,2,0
"Tenex 搁板, 金属",Tenex,4,二级,0.0,办公用品,收纳具,250.66666666666666,消费者,韩城,陕西,西北,0.4,3,0
"Tenex 盘, 金属",Tenex,4,标准级,0.0,办公用品,收纳具,248.66666666666666,消费者,韩城,陕西,西北,0.39,2,0
"Tenex 盘, 工业",Tenex,6,标准级,0.0,办公用品,收纳具,255.28571428571428,消费者,韩城,陕西,西北,0.44,2,0
"Fellowes 盘, 工业",Fellowes,3,一级,0.0,办公用品,收纳具,270.0,消费者,韩城,陕西,西北,0.44,2,0
"Kleencut 大剪刀, 钢",Kleencut,1,一级,0.4,办公用品,用品,129.33333333333334,消费者,盐城,江苏,华东,0.08,3,0
"Office Star 折叠椅, 每套两件",Office Star,6,标准级,0.0,家具,椅子,438.4,消费者,盐城,江苏,华东,0.15,5,0
"Accos 夹子, 整包",Accos,3,二级,0.4,办公用品,系固件,54.333333333333336,消费者,盐城,江苏,华东,-0.52,5,0
"Stockwell 夹子, 整包",Stockwell,3,二级,0.4,办公用品,系固件,53.857142857142854,消费者,盐城,江苏,华东,-0.12,5,0
"Advantus 夹子, 整包",Advantus,4,标准级,0.0,办公用品,系固件,90.0,消费者,盐城,江苏,华东,0.5,5,0
"Boston 荧光笔, 蓝色",Boston,5,标准级,0.2,办公用品,美术,70.42857142857143,消费者,盐城,江苏,华东,0.22,2,0
"柯尼卡 收据打印机, 耐用",柯尼卡,5,标准级,0.0,技术,设备,571.0,公司,南宁,广西,中南,0.44,4,0
"Acme 开信刀, 钢",Acme,4,标准级,0.0,办公用品,用品,138.25,小型企业,天津,天津,华北,0.11,2,0
"Cardinal 装订机, 回收",Cardinal,2,二级,0.0,办公用品,装订机,66.16666666666667,小型企业,天津,天津,华北,0.32,3,0
"Cardinal 装订机, 回收",Cardinal,2,二级,0.0,办公用品,装订机,66.16666666666667,小型企业,天津,天津,华北,0.32,3,0
"Advantus 闹钟, 优质",Advantus,5,标准级,0.4,家具,用具,140.0,小型企业,天津,天津,华北,-0.15,9,0
"夏普 复印机, 彩色",夏普,2,二级,0.0,技术,复印机,1123.909090909091,公司,徐州,江苏,华东,0.4,6,0
"惠普 复印机, 彩色",惠普,6,标准级,0.0,技术,复印机,1144.0,公司,徐州,江苏,华东,0.03,6,0
"Brother 复印机, 彩色",Brother,4,标准级,0.4,技术,复印机,738.3333333333334,公司,徐州,江苏,华东,-0.62,6,0
"SanDisk 计划信息表, 每包 12 个",SanDisk,5,二级,0.0,办公用品,纸张,130.5,消费者,扬州,江苏,华东,0.05,3,0
"Cardinal 孔加固材料, 透明",Cardinal,3,二级,0.4,办公用品,装订机,13.333333333333334,公司,北京,北京,华北,-0.49,3,0
"Ibico 装订机, 实惠",Ibico,0,当日,0.0,办公用品,装订机,72.0,公司,仪征,江苏,华东,0.29,3,0
"GlobeWeis 外皮和封条, 回收",GlobeWeis,5,标准级,0.0,办公用品,信封,94.0,消费者,镇江,江苏,华东,0.05,6,0
"Kraft 马尼拉纸信封, 银色",Kraft,3,二级,0.0,办公用品,信封,135.0,消费者,镇江,江苏,华东,0.25,2,0
"Novimex 摇椅, 红色",Novimex,4,二级,0.0,家具,椅子,613.3333333333334,消费者,杭州,浙江,华东,0.3,2,0
"SAFCO 摇椅, 红色",SAFCO,6,标准级,0.1,家具,椅子,566.5,消费者,杭州,浙江,华东,0.19,2,0
"佳能 墨水, 彩色",佳能,2,一级,0.4,技术,复印机,416.0,公司,禹州,河南,中南,-0.52,5,0
"SanDisk 键盘, 实惠",SanDisk,5,标准级,0.0,技术,配件,380.2,消费者,沈阳,辽宁,东北,0.15,6,0
"Memorex 键盘, 实惠",Memorex,2,二级,0.0,技术,配件,332.85714285714283,消费者,沈阳,辽宁,东北,0.46,6,0
"Wilson Jones 订书机, 透明",Wilson Jones,6,标准级,0.0,办公用品,装订机,226.0,消费者,沈阳,辽宁,东北,0.24,11,0
"Novimex 运输标签, 白色",Novimex,5,二级,0.0,办公用品,标签,51.285714285714285,小型企业,珠海,广东,中南,0.47,9,0
"Ibico 孔加固材料, 透明",Ibico,3,二级,0.0,办公用品,装订机,30.166666666666668,消费者,重庆,重庆,西南,0.14,4,0
"SAFCO 扶手椅, 可调",SAFCO,4,标准级,0.0,家具,椅子,2165.0,消费者,常州,江苏,华东,0.31,5,0
"Avery 合法证物标签, 红色",Avery,2,二级,0.0,办公用品,标签,52.0,消费者,常州,江苏,华东,0.11,2,0
"Smead 合法证物标签, 红色",Smead,5,二级,0.0,办公用品,标签,51.0,消费者,常州,江苏,华东,0.2,2,0
"Advantus 橡皮筋, 金属",Advantus,5,标准级,0.0,办公用品,系固件,78.0,小型企业,张家港,江苏,华东,0.03,2,0
"宜家 古典书架, 金属",宜家,2,二级,0.0,家具,书架,1919.0,公司,长沙,湖南,中南,0.07,2,0
"Kraft 搭扣信封, 回收",Kraft,5,二级,0.0,办公用品,信封,36.5,公司,昭通,云南,西南,0.41,8,0
"Hon 折叠椅, 红色",Hon,3,一级,0.0,家具,椅子,380.0,消费者,密山,黑龙江,东北,0.37,2,0
"Harbour Creations 折叠椅, 红色",Harbour Creations,4,二级,0.0,家具,椅子,457.0,消费者,密山,黑龙江,东北,0.42,2,0
"Rogers 文件夹, 工业",Rogers,5,标准级,0.0,办公用品,收纳具,145.4,消费者,密山,黑龙江,东北,0.11,3,0
"Eaton 笔记本, 每包 12 个",Eaton,2,二级,0.0,办公用品,纸张,143.4,消费者,密山,黑龙江,东北,0.01,3,0
"佳能 墨水, 红色",佳能,2,二级,0.0,技术,复印机,678.5,消费者,肇源,黑龙江,东北,0.39,1,0
"Acme 修剪器, 钢",Acme,2,一级,0.4,办公用品,用品,123.0,消费者,海口,云南,西南,-0.3,2,0
"Jiffy 马尼拉纸信封, 银色",Jiffy,4,标准级,0.0,办公用品,信封,132.66666666666666,消费者,海口,云南,西南,0.37,1,0
"Cameo 马尼拉纸信封, 银色",Cameo,5,标准级,0.0,办公用品,信封,137.0,消费者,海口,云南,西南,0.02,1,0
"KitchenAid 微波炉, 银色",KitchenAid,4,标准级,0.0,办公用品,器具,1451.75,公司,肇源,黑龙江,东北,0.31,11,0
"Jiffy 马尼拉纸信封, 银色",Jiffy,4,标准级,0.0,办公用品,信封,132.66666666666666,消费者,襄城,河南,中南,0.37,2,0
"SAFCO 扶手椅, 红色",SAFCO,6,标准级,0.4,家具,椅子,1292.0,消费者,襄城,河南,中南,0.07,1,0
"Novimex 扶手椅, 红色",Novimex,2,一级,0.1,家具,椅子,1923.5,消费者,襄城,河南,中南,0.2,1,0
"SAFCO 扶手椅, 红色",SAFCO,6,标准级,0.4,家具,椅子,1292.0,消费者,襄城,河南,中南,0.07,1,0
"BIC 荧光笔, 蓝色",BIC,5,标准级,0.8,办公用品,美术,17.666666666666668,公司,鹤岗,黑龙江,东北,-3.06,4,0
"Stanley 荧光笔, 蓝色",Stanley,1,一级,0.0,办公用品,美术,69.0,公司,鹤岗,黑龙江,东北,0.11,4,0
"Binney & Smith 荧光笔, 蓝色",Binney & Smith,0,当日,0.2,办公用品,美术,62.0,公司,鹤岗,黑龙江,东北,0.37,4,0
"Stiletto 剪刀, 工业",Stiletto,4,标准级,0.0,办公用品,用品,117.8,公司,天津,天津,华北,0.46,3,0
"Stiletto 剪刀, 工业",Stiletto,4,标准级,0.0,办公用品,用品,117.8,公司,天津,天津,华北,0.46,3,0
"思科 办公室电话机, 全尺寸",思科,4,标准级,0.4,技术,电话,229.0,消费者,温州,浙江,华东,-0.67,6,0
"诺基亚 办公室电话机, 全尺寸",诺基亚,4,二级,0.0,技术,电话,310.0,消费者,温州,浙江,华东,0.31,6,0
"Rubvermaid 门挡, 优质",Rubvermaid,5,标准级,0.0,家具,用具,198.0,消费者,四平,吉林,东北,0.23,3,0
"三星 耳机, 混合尺寸",三星,3,一级,0.0,技术,电话,355.0,消费者,安顺,贵州,西南,0.11,5,0
"苹果 耳机, 混合尺寸",苹果,5,标准级,0.0,技术,电话,355.3333333333333,消费者,安顺,贵州,西南,0.23,5,0
"Fellowes 文件夹, 单宽度",Fellowes,7,标准级,0.0,办公用品,收纳具,123.28571428571429,消费者,安顺,贵州,西南,0.35,5,0
"SanDisk 闪存驱动器, 可编程",SanDisk,6,标准级,0.4,技术,配件,115.0,消费者,安顺,贵州,西南,0.1,2,0
"夏普 墨水, 红色",夏普,0,当日,0.0,技术,复印机,572.0,小型企业,高密,山东,华东,0.1,2,0
"Advantus 订书钉, 整包",Advantus,4,二级,0.4,办公用品,系固件,30.444444444444443,消费者,抚顺,辽宁,东北,-0.28,1,0
"OIC 订书钉, 整包",OIC,6,标准级,0.0,办公用品,系固件,53.0,消费者,抚顺,辽宁,东北,0.27,1,0
"Enermax 信纸, 优质",Enermax,1,一级,0.0,办公用品,纸张,219.66666666666666,消费者,抚顺,辽宁,东北,0.3,5,0
"Smead 盒, 工业",Smead,4,标准级,0.0,办公用品,收纳具,52.5,消费者,抚顺,辽宁,东北,0.31,5,0
"摩托罗拉 信号增强器, 混合尺寸",摩托罗拉,2,二级,0.0,技术,电话,681.2,消费者,抚顺,辽宁,东北,0.19,2,0
"Advantus 分层置放架, 耐用",Advantus,7,标准级,0.4,家具,用具,65.6,消费者,抚顺,辽宁,东北,-0.15,4,0
"Rubvermaid 分层置放架, 耐用",Rubvermaid,5,二级,0.0,家具,用具,103.33333333333333,消费者,抚顺,辽宁,东北,0.44,4,0
"Harbour Creations 沙滩椅, 红色",Harbour Creations,4,标准级,0.1,家具,椅子,258.8,消费者,抚顺,辽宁,东北,0.27,3,0
"SAFCO 沙滩椅, 红色",SAFCO,5,标准级,0.0,家具,椅子,230.66666666666666,消费者,抚顺,辽宁,东北,0.49,3,0
"Ibico 装订机, 回收",Ibico,4,二级,0.0,办公用品,装订机,74.0,消费者,抚顺,辽宁,东北,0.32,2,0
"Acco 装订机, 回收",Acco,0,当日,0.0,办公用品,装订机,72.5,消费者,抚顺,辽宁,东北,0.45,2,0
"Stanley 记号笔, 蓝色",Stanley,7,标准级,0.2,办公用品,美术,83.0,公司,洮南,吉林,东北,0.07,3,0
"Avery 运输标签, 红色",Avery,5,标准级,0.0,办公用品,标签,54.5,公司,德阳,四川,西南,0.12,1,0
"Cameo 商业信封, 每套 50 个",Cameo,6,标准级,0.0,办公用品,信封,79.16666666666667,公司,德阳,四川,西南,0.48,3,0
"Ibico 订书机, 透明",Ibico,3,一级,0.4,办公用品,装订机,142.5,公司,德阳,四川,西南,0.1,8,0
"Cardinal 订书机, 透明",Cardinal,5,标准级,0.0,办公用品,装订机,229.66666666666666,公司,德阳,四川,西南,0.13,8,0
"Smead 盒, 工业",Smead,3,一级,0.0,办公用品,收纳具,52.5,消费者,杭州,浙江,华东,0.31,5,0
"KitchenAid 咖啡研磨机, 白色",KitchenAid,4,二级,0.4,办公用品,器具,192.0,公司,鞍山,辽宁,东北,-0.37,5,0
"诺基亚 充电器, 混合尺寸",诺基亚,4,标准级,0.0,技术,电话,2981.5,公司,鞍山,辽宁,东北,0.47,3,0
"GlobeWeis 外皮和封条, 银色",GlobeWeis,3,二级,0.0,办公用品,信封,111.0,消费者,兰州,甘肃,西北,0.5,2,0
"Jiffy 外皮和封条, 银色",Jiffy,3,一级,0.0,办公用品,信封,104.66666666666667,消费者,兰州,甘肃,西北,0.47,2,0
"Cardinal 标签, 耐用",Cardinal,2,二级,0.0,办公用品,装订机,41.0,消费者,兰州,甘肃,西北,0.42,3,0
"佳能 复印机, 红色",佳能,7,标准级,0.4,技术,复印机,729.0,消费者,廉洲,广东,中南,-0.65,6,0
"Wilson Jones 孔加固材料, 透明",Wilson Jones,4,标准级,0.0,办公用品,装订机,18.666666666666668,小型企业,包头,内蒙古,华北,0.4,3,0
"Tenex 文件夹, 单宽度",Tenex,0,当日,0.0,办公用品,收纳具,108.66666666666667,小型企业,包头,内蒙古,华北,0.03,2,0
"Cameo 局间信封, 红色",Cameo,4,标准级,0.0,办公用品,信封,237.8,小型企业,包头,内蒙古,华北,0.11,5,0
"SanDisk 记忆卡, 实惠",SanDisk,4,标准级,0.0,技术,配件,524.6,公司,武汉,湖北,中南,0.2,4,0
"Hon 扶手椅, 黑色",Hon,7,标准级,0.1,家具,椅子,1910.0,消费者,成都,四川,西南,0.14,2,0
"SanDisk 信纸, 多色",SanDisk,4,标准级,0.0,办公用品,纸张,232.5,公司,济宁,内蒙古,华北,0.27,7,0
"三星 充电器, 混合尺寸",三星,7,标准级,0.4,技术,电话,1789.0,公司,济宁,内蒙古,华北,0.08,5,0
"Enermax 闪存驱动器, 回收",Enermax,7,标准级,0.0,技术,配件,183.66666666666666,公司,枝江,湖北,中南,0.4,8,0
"摩托罗拉 智能手机, 混合尺寸",摩托罗拉,0,当日,0.0,技术,电话,619.0,公司,枝江,湖北,中南,0.44,4,0
"思科 智能手机, 混合尺寸",思科,5,标准级,0.0,技术,电话,659.5,公司,枝江,湖北,中南,0.44,4,0
"Smead 盒, 金属",Smead,6,标准级,0.0,办公用品,收纳具,46.0,小型企业,潍坊,山东,华东,0.22,3,0
"Eldon 盒, 金属",Eldon,5,标准级,0.0,办公用品,收纳具,43.5,小型企业,潍坊,山东,华东,0.36,3,0
"Cardinal 标签, 实惠",Cardinal,4,标准级,0.0,办公用品,装订机,34.0,公司,潍坊,山东,华东,0.26,5,0
"贝尔金 鼠标, 可编程",贝尔金,6,标准级,0.0,技术,配件,197.0,公司,潍坊,山东,华东,0.08,2,0
"Enermax 闪存驱动器, 回收",Enermax,7,标准级,0.0,技术,配件,183.66666666666666,消费者,河源,广东,中南,0.4,2,0
"贝尔金 键盘, 回收",贝尔金,6,标准级,0.0,技术,配件,381.2857142857143,消费者,河源,广东,中南,0.44,3,0
"Hon 摇椅, 每套两件",Hon,5,二级,0.4,家具,椅子,372.0,消费者,朗乡,黑龙江,东北,-0.23,4,0
"贝尔金 记忆卡, 可编程",贝尔金,5,二级,0.0,技术,配件,543.0,消费者,朗乡,黑龙江,东北,0.34,4,0
"苹果 办公室电话机, 混合尺寸",苹果,4,标准级,0.0,技术,电话,318.0,消费者,呼和浩特,内蒙古,华北,0.42,3,0
"Cardinal 标签, 回收",Cardinal,4,二级,0.4,办公用品,装订机,21.285714285714285,公司,重庆,重庆,西南,0.17,2,0
"摩托罗拉 充电器, 整包",摩托罗拉,3,一级,0.0,技术,电话,2999.5,公司,重庆,重庆,西南,0.19,5,0
"Smead 盘, 蓝色",Smead,6,标准级,0.0,办公用品,收纳具,226.0,消费者,珠海,广东,中南,0.47,3,0
"Eldon 盘, 蓝色",Eldon,5,标准级,0.0,办公用品,收纳具,224.0,消费者,珠海,广东,中南,0.08,3,0
"Sauder 书库, 金属",Sauder,3,二级,0.0,家具,书架,1806.4,公司,新民,辽宁,东北,0.4,2,0
"Novimex 圆形标签, 红色",Novimex,3,一级,0.0,办公用品,标签,28.333333333333332,公司,临汾,山西,华北,0.45,3,0
"Ibico 打孔机, 实惠",Ibico,5,二级,0.4,办公用品,装订机,85.25,消费者,满洲里,内蒙古,华北,-0.35,1,0
"三星 智能手机, 全尺寸",三星,5,标准级,0.0,技术,电话,581.0,小型企业,徐州,江苏,华东,0.13,3,0
"Smead 可去除的标签, 可调",Smead,7,标准级,0.0,办公用品,标签,39.0,消费者,莱州,山东,华东,0.43,6,0
"诺基亚 信号增强器, 整包",诺基亚,7,标准级,0.0,技术,电话,637.4285714285714,消费者,莱州,山东,华东,0.33,4,0
"Enermax 笔记本, 每包 12 个",Enermax,3,二级,0.0,办公用品,纸张,152.4,消费者,开原,辽宁,东北,0.26,3,0
"Tenex 搁板, 工业",Tenex,4,标准级,0.0,办公用品,收纳具,257.3333333333333,消费者,开原,辽宁,东北,0.26,2,0
"爱普生 打印机, 白色",爱普生,5,标准级,0.0,技术,设备,1218.25,消费者,钟祥,湖北,中南,0.03,3,0
"冲电器 打印机, 白色",冲电器,7,标准级,0.4,技术,设备,747.5,消费者,钟祥,湖北,中南,-0.12,3,0
"Hon 合法证物标签, 可调",Hon,4,标准级,0.0,办公用品,标签,41.0,消费者,钟祥,湖北,中南,0.3,4,0
"Novimex 合法证物标签, 可调",Novimex,2,二级,0.0,办公用品,标签,39.0,消费者,钟祥,湖北,中南,0.21,4,0
"Stiletto 剪刀, 钢",Stiletto,3,二级,0.4,办公用品,用品,64.5,消费者,钟祥,湖北,中南,-0.42,1,0
"Acme 剪刀, 钢",Acme,2,一级,0.4,办公用品,用品,69.66666666666667,消费者,钟祥,湖北,中南,-0.05,1,0
"罗技 鼠标, 回收",罗技,4,标准级,0.4,技术,配件,76.0,消费者,南昌,江西,华东,-0.12,2,0
"Advantus 按钉, 金属",Advantus,5,标准级,0.0,办公用品,系固件,68.0,公司,哈尔滨,黑龙江,东北,0.31,4,0
"Harbour Creations 折叠椅, 黑色",Harbour Creations,5,标准级,0.4,家具,椅子,267.3333333333333,消费者,泰康,黑龙江,东北,-0.43,4,0
"SAFCO 折叠椅, 黑色",SAFCO,6,标准级,0.4,家具,椅子,233.22222222222223,消费者,泰康,黑龙江,东北,-0.57,4,0
"Eaton 笔记本, 优质",Eaton,5,二级,0.0,办公用品,纸张,124.0,消费者,泰兴,江苏,华东,0.31,1,0
"Office Star 椅垫, 红色",Office Star,2,一级,0.4,家具,椅子,184.33333333333334,公司,芜湖,安徽,华东,-0.6,6,0
"Tenex 锁柜, 金属",Tenex,5,标准级,0.0,办公用品,收纳具,948.5,公司,芜湖,安徽,华东,0.5,4,0
"Smead 锁柜, 金属",Smead,2,二级,0.0,办公用品,收纳具,921.5,公司,芜湖,安徽,华东,0.47,4,0
"Novimex 摇椅, 每套两件",Novimex,3,一级,0.4,家具,椅子,374.5,公司,芜湖,安徽,华东,-0.3,5,0
"施乐 令, 每包 12 个",施乐,5,二级,0.0,办公用品,纸张,142.25,消费者,泰兴,江苏,华东,0.28,3,0
"三星 耳机, 蓝色",三星,5,标准级,0.0,技术,电话,341.6,公司,成都,四川,西南,0.1,2,0
"Rubvermaid 闹钟, 优质",Rubvermaid,2,一级,0.0,家具,用具,227.66666666666666,公司,扬州,江苏,华东,0.04,2,0
"Cameo 商业信封, 每套 50 个",Cameo,2,二级,0.0,办公用品,信封,79.2,消费者,无锡,江苏,华东,0.48,6,0
"Fellowes 文件车, 金属",Fellowes,6,标准级,0.0,办公用品,收纳具,636.3333333333334,公司,重庆,重庆,西南,0.46,4,0
