brand,days,discount,category,sub_category,price,user_type,user_city,profit,sell_num,label
24,4,1,3,2,1,0,332005,0,2,0
13,2,1,1,8,0,0,332005,0,0,0
29,5,1,1,8,0,0,332005,0,0,0
6,5,1,1,4,0,1,332006,0,0,0
49,2,1,3,11,1,2,334000,0,0,0
9,5,1,1,6,0,2,552000,0,1,0
18,3,1,3,2,0,0,220001,0,0,0
4,4,1,3,2,0,0,220001,0,0,0
21,5,1,1,13,0,0,220001,0,0,0
5,2,1,1,3,0,0,220001,0,0,0
47,2,1,2,5,2,0,220002,0,0,0
45,2,0,1,10,0,0,552001,2,0,0
50,4,1,1,6,0,0,552001,0,0,0
10,5,1,1,6,0,0,552001,0,0,0
51,4,1,1,15,1,2,220002,0,1,0
50,4,1,1,6,0,0,332002,0,0,0
24,6,0,3,2,2,0,332002,0,0,0
40,2,1,3,2,1,0,332002,0,0,0
24,6,0,3,2,2,0,332002,0,0,0
52,5,2,1,14,0,2,220003,1,2,0
28,1,1,1,14,0,2,220003,0,2,0
53,0,0,1,14,0,2,220003,0,2,0
54,4,1,1,10,0,2,112000,0,0,0
54,4,1,1,10,0,2,112000,0,0,0
12,4,0,2,7,0,0,334003,2,2,0
38,4,1,2,7,0,0,334003,0,2,0
20,5,1,3,12,0,0,221001,0,0,0
55,3,1,2,7,0,0,553000,0,2,0
31,5,1,2,7,0,0,553000,0,2,0
41,7,1,1,13,0,0,553000,0,2,0
14,6,0,2,9,0,0,553000,0,0,0
46,0,1,2,5,2,1,331002,0,0,0
6,4,0,1,4,0,0,222001,2,0,0
56,6,1,1,4,0,0,222001,0,0,0
15,1,1,1,3,0,0,222001,0,2,0
29,4,1,1,13,0,0,222001,0,2,0
11,2,1,2,7,2,0,222001,0,0,0
6,7,0,3,12,0,0,222001,2,2,0
20,5,1,3,12,0,0,222001,0,2,0
4,4,1,3,2,0,0,222001,0,0,0
24,5,1,3,2,0,0,222001,0,0,0
2,4,1,1,1,0,0,222001,0,0,0
1,0,1,1,1,0,0,222001,0,0,0
28,7,0,1,14,0,2,221002,0,0,0
13,5,1,1,8,0,2,550002,0,0,0
10,6,1,1,6,0,2,550002,0,0,0
2,3,0,1,1,0,2,550002,0,1,0
30,5,1,1,1,0,2,550002,0,1,0
29,3,1,1,13,0,0,334002,0,2,0
51,4,0,1,15,0,2,222002,2,2,0
38,4,1,2,7,1,2,222002,0,0,0
39,3,1,1,6,0,0,662000,0,0,0
50,3,1,1,6,0,0,662000,0,0,0
30,2,1,1,1,0,0,662000,0,0,0
47,7,0,2,5,2,0,333008,2,2,0
3,4,1,1,1,0,1,113000,0,0,0
23,0,1,1,13,0,1,113000,0,0,0
10,4,1,1,6,0,1,113000,0,2,0
14,4,1,2,9,2,2,330001,0,2,0
18,7,1,3,2,1,0,550003,0,0,0
14,4,1,1,3,0,2,331016,0,1,0
55,7,0,2,7,1,2,331016,0,2,0
15,7,1,2,9,0,2,330002,0,1,0
11,0,1,2,7,2,2,330002,0,2,0
12,5,1,2,7,2,2,330002,0,2,0
29,6,1,1,13,0,1,331003,0,0,0
22,5,1,1,13,0,1,331003,0,0,0
30,4,1,1,1,0,2,331003,0,2,0
57,6,1,2,9,0,2,331003,0,0,0
15,7,1,2,9,0,0,331004,0,0,0
57,6,1,2,9,0,0,331004,0,0,0
18,5,0,3,2,0,0,220004,2,2,0
57,5,1,2,9,2,0,220004,0,2,0
31,4,1,2,7,0,0,113002,0,0,0
30,4,0,1,1,0,2,551000,0,0,0
11,3,1,2,7,1,2,551000,0,2,0
29,6,1,1,13,0,0,331002,0,0,0
22,5,1,1,13,0,0,331002,0,0,0
26,3,1,3,11,1,2,222003,0,0,0
40,3,1,1,8,0,2,114000,0,0,0
2,5,0,1,1,0,0,113003,2,0,0
55,5,1,2,7,2,1,332000,0,0,0
29,7,1,1,8,0,0,331004,0,2,0
38,7,1,2,7,2,0,331004,0,2,0
15,3,1,1,3,0,0,222004,0,0,0
23,4,1,1,13,0,0,222004,0,0,0
36,5,1,2,16,2,0,330003,0,0,0
58,7,0,2,16,2,0,330003,2,0,0
18,4,1,1,8,0,0,330003,0,2,0
40,2,1,1,8,0,0,330003,0,2,0
54,3,0,1,10,0,0,330003,2,0,0
45,2,0,1,10,0,0,330003,0,0,0
59,4,0,2,9,0,0,330001,2,0,0
6,5,1,1,4,0,2,220000,0,2,0
4,5,0,3,2,0,0,220005,2,2,0
24,6,0,3,2,0,0,220005,2,2,0
5,5,1,1,3,0,0,332007,0,0,0
25,2,0,3,2,0,2,336002,2,2,0
23,5,1,1,13,2,2,336002,0,2,0
29,2,1,1,13,2,2,336002,0,2,0
40,3,0,3,2,0,2,336002,2,2,0
60,5,1,1,3,0,0,332007,0,0,0
55,5,1,2,7,0,2,550003,0,0,0
20,2,1,3,12,0,2,332002,0,0,0
10,2,1,1,6,0,0,332008,0,2,0
41,6,1,1,13,2,2,551000,0,2,0
14,2,1,2,9,2,1,330002,0,0,0
60,4,1,1,3,0,0,550000,0,0,0
1,6,1,1,1,0,0,550000,0,0,0
13,4,1,1,1,0,0,550000,0,0,0
61,4,0,1,15,2,1,334004,2,0,0
22,2,1,1,13,0,1,334004,0,0,0
4,6,1,3,2,2,1,334004,0,0,0
40,6,1,3,2,2,1,334004,0,0,0
25,4,1,3,2,1,1,334004,0,0,0
26,6,1,3,11,2,1,334004,0,2,0
47,3,0,2,5,2,2,335000,2,2,0
26,7,1,3,11,2,2,335000,0,0,0
49,5,1,3,11,2,2,335000,0,0,0
23,0,1,1,13,2,2,335000,0,0,0
24,6,1,3,2,1,2,335000,0,1,0
4,5,1,3,2,1,2,335000,0,1,0
41,5,1,1,13,0,2,335000,0,0,0
32,6,1,2,5,1,0,552002,0,0,0
46,4,1,2,5,1,0,552002,0,0,0
31,5,1,2,7,0,0,552002,0,0,0
41,2,1,1,13,0,2,660002,0,2,0
29,4,1,1,13,0,2,660002,0,2,0
62,7,0,1,15,1,1,330002,2,0,0
4,1,1,1,8,0,2,330001,0,2,0
40,4,1,3,2,1,2,330001,0,0,0
40,4,1,3,2,1,2,330001,0,0,0
12,6,1,2,7,2,1,332003,0,1,0
58,3,0,2,16,2,1,332003,2,0,0
1,4,1,1,1,0,1,332003,0,2,0
2,3,1,1,1,0,1,332003,0,2,0
3,5,1,1,1,0,1,332003,0,2,0
23,2,1,3,12,0,1,332003,0,0,0
22,2,0,3,12,0,1,332003,2,0,0
63,4,1,3,12,0,1,332003,0,0,0
23,4,0,3,12,0,1,332003,2,2,0
23,4,0,3,12,0,1,332003,2,2,0
22,4,1,3,12,0,1,332003,0,2,0
50,4,1,1,6,0,1,332003,0,2,0
10,2,1,1,6,0,1,332003,0,2,0
40,4,1,3,2,0,0,334001,0,2,0
40,1,1,3,2,0,0,222000,0,0,0
50,3,1,1,6,0,0,110001,0,0,0
34,1,0,1,10,0,0,110001,2,1,0
34,1,0,1,10,0,0,110001,2,1,0
4,3,1,1,8,0,0,110001,0,1,0
4,0,1,3,2,1,0,112001,0,2,0
27,5,1,1,14,0,0,112001,0,2,0
52,2,2,1,14,0,0,112001,1,2,0
64,4,1,1,3,0,0,110002,0,2,0
15,5,1,1,3,0,0,110002,0,2,0
35,4,1,3,11,2,0,110002,0,0,0
30,5,1,1,1,0,0,110002,0,2,0
60,4,1,1,3,0,0,111000,0,2,0
56,0,1,1,4,0,2,221003,0,1,0
10,6,1,1,6,0,1,112000,0,2,0
55,2,0,2,7,2,0,220006,0,0,0
15,5,1,1,3,0,0,330004,0,0,0
5,6,1,1,3,0,0,330004,0,0,0
40,7,1,3,2,0,0,552002,0,2,0
4,4,1,3,2,0,0,552002,0,2,0
64,3,1,1,3,0,2,222001,0,0,0
1,4,0,1,1,0,2,222001,2,0,0
26,2,1,3,11,2,2,222001,0,2,0
49,2,0,3,11,2,2,222001,2,2,0
38,4,1,2,7,0,2,332009,0,0,0
14,6,1,1,3,0,2,332009,0,0,0
35,4,1,3,11,2,2,552003,0,2,0
6,4,1,1,4,0,2,552003,0,0,0
38,2,1,2,7,0,2,331005,0,0,0
43,5,0,1,14,0,2,331016,0,1,0
65,5,1,3,11,2,2,331016,0,1,0
29,5,1,1,8,0,2,331005,0,2,0
13,4,1,1,8,0,2,331005,0,2,0
7,3,1,2,5,2,0,551001,0,2,0
32,5,1,2,5,2,0,551001,0,2,0
22,4,1,1,13,0,0,221004,0,0,0
66,2,0,1,15,2,2,222000,0,2,0
30,6,1,1,1,0,2,222000,0,1,0
50,0,1,1,6,0,2,222000,0,2,0
39,7,1,1,6,0,2,222000,0,0,0
2,4,0,1,1,0,0,334002,0,2,0
3,0,1,1,1,0,0,334002,0,2,0
1,6,1,1,1,0,0,334002,0,2,0
18,4,1,3,2,2,0,334005,0,0,0
30,4,0,1,1,0,0,334005,0,0,0
2,2,1,1,1,0,0,334005,0,0,0
21,3,1,1,13,0,0,334005,0,0,0
15,4,1,2,9,0,0,331006,0,0,0
48,6,0,2,9,0,0,331006,0,0,0
6,6,1,1,4,0,1,334002,0,2,0
60,5,1,1,3,0,0,110000,0,2,0
22,4,1,3,12,0,0,110000,0,0,0
34,4,1,1,10,0,0,110000,0,0,0
67,5,1,1,10,0,0,110000,0,0,0
40,2,1,3,2,0,0,110000,0,0,0
3,0,0,1,1,0,0,110000,0,2,0
14,3,1,1,3,0,0,110000,0,1,0
63,2,1,3,12,2,0,333001,0,2,0
22,6,1,1,13,2,0,333001,0,1,0
41,5,1,1,13,2,0,333001,0,1,0
22,6,1,1,13,2,0,333001,0,1,0
23,2,1,1,13,2,0,333001,0,1,0
41,0,1,1,13,0,1,220007,0,0,0
13,5,1,1,8,0,0,331006,0,2,0
40,5,1,1,8,0,0,331006,0,2,0
61,5,1,1,15,1,0,552004,0,2,0
49,5,0,3,11,2,0,552004,0,0,0
40,5,1,3,2,0,0,334002,0,2,0
18,4,1,3,2,0,0,334002,0,2,0
13,5,0,1,1,0,0,334002,0,0,0
40,7,0,3,2,0,1,332010,2,1,0
54,2,1,1,10,0,2,552002,0,2,0
61,5,1,1,15,1,1,220008,0,1,0
13,6,0,1,1,0,1,220008,2,0,0
13,6,0,1,1,0,1,220008,2,0,0
9,5,1,1,6,0,2,222005,0,1,0
68,5,1,1,6,0,2,222005,0,0,0
28,4,1,1,14,0,2,222005,0,2,0
53,4,1,1,14,0,2,222005,0,2,0
46,2,1,2,5,2,0,222006,0,0,0
7,1,0,2,5,2,0,222006,2,0,0
32,6,1,2,5,2,0,222006,0,0,0
59,3,0,2,9,0,0,222006,2,0,0
16,3,1,1,10,0,0,222006,0,2,0
52,5,1,1,14,0,0,222006,0,0,0
63,5,1,3,12,0,0,220009,0,0,0
35,4,1,3,11,2,1,331007,0,0,0
21,5,1,1,13,2,1,331007,0,1,0
41,2,1,1,13,0,0,332008,0,2,0
41,2,1,1,13,0,0,332008,0,2,0
57,2,0,2,9,0,0,332008,0,0,0
59,4,1,2,9,0,0,332008,0,0,0
2,6,1,1,1,0,1,333002,0,0,0
3,7,1,1,1,0,1,333002,0,0,0
1,6,0,1,1,0,1,333002,0,0,0
47,5,1,2,5,2,1,333002,0,1,0
62,5,0,1,15,2,0,332000,0,2,0
48,2,1,2,9,0,0,662001,0,1,0
40,4,0,3,2,2,0,662001,2,0,0
31,3,1,2,7,2,0,220010,0,0,0
12,3,0,2,7,0,0,220010,0,0,0
8,3,1,2,5,1,0,220010,0,0,0
35,0,1,3,11,2,2,330002,0,1,0
60,3,1,1,3,0,2,330002,0,0,0
40,6,1,3,2,2,0,220012,0,2,0
46,3,1,2,5,2,0,220012,0,2,0
15,3,1,1,3,0,0,220012,0,2,0
60,2,1,1,3,0,0,220012,0,2,0
61,6,1,1,15,1,0,220012,0,0,0
62,4,1,1,15,1,0,220012,0,0,0
55,7,1,2,7,0,1,550003,0,2,0
19,2,1,1,4,0,2,220010,0,0,0
30,2,1,1,1,0,2,330005,0,1,0
23,3,1,1,13,0,0,333000,0,1,0
27,4,2,1,14,0,0,333000,1,1,0
24,4,0,3,2,2,0,333000,2,0,0
40,7,1,3,2,2,0,333000,0,0,0
28,1,2,1,14,0,2,330001,1,1,0
8,4,1,2,5,1,2,330001,0,0,0
40,4,1,3,2,2,0,660003,0,0,0
23,4,1,3,12,0,2,114001,0,0,0
30,5,1,1,1,0,0,331007,0,0,0
2,4,1,1,1,0,0,331007,0,0,0
61,4,1,1,15,0,0,331007,0,2,0
40,4,0,3,2,0,0,331007,2,0,0
24,5,1,3,2,2,0,331007,0,0,0
13,6,0,1,1,0,2,110002,0,2,0
3,6,1,1,1,0,2,110002,0,2,0
46,1,0,2,5,0,2,110002,2,0,0
64,1,1,1,3,0,0,331008,0,0,0
5,2,1,1,3,0,0,331008,0,0,0
9,5,1,1,6,0,0,331008,0,2,0
39,5,1,1,6,0,0,331008,0,2,0
37,4,1,2,16,1,0,331008,0,0,0
34,6,0,1,10,0,0,331001,2,0,0
54,4,0,1,10,0,0,331001,2,0,0
10,4,1,1,6,0,0,331009,0,0,0
1,4,1,1,1,0,0,331009,0,0,0
54,3,1,1,10,0,2,221005,0,0,0
16,1,1,1,10,0,2,221005,0,0,0
18,4,1,3,2,1,2,221005,0,1,0
40,2,1,3,2,1,2,221005,0,1,0
14,5,1,2,9,0,0,332004,0,0,0
57,4,1,2,9,0,0,332004,0,0,0
48,6,0,2,9,0,0,332004,0,0,0
22,0,0,3,12,0,0,332004,0,0,0
57,4,0,2,9,0,0,332004,2,0,0
15,4,1,2,9,0,0,332004,0,0,0
61,4,1,1,15,1,2,331008,0,0,0
39,4,1,1,6,0,2,331008,0,2,0
34,1,0,1,10,0,2,331008,2,0,0
3,3,1,1,1,0,0,331008,0,0,0
50,4,1,1,6,0,0,331008,0,0,0
16,2,1,1,10,0,0,331008,0,2,0
64,4,1,1,3,0,0,331008,0,0,0
57,5,1,2,9,0,0,331008,0,0,0
23,2,1,1,13,0,0,331008,0,0,0
63,4,1,3,12,0,0,551000,0,2,0
63,5,1,3,12,0,0,551000,0,0,0
23,2,0,3,12,0,0,551000,2,0,0
6,7,1,1,4,0,0,334006,0,2,0
44,6,1,2,16,2,1,112000,0,0,0
69,7,1,2,16,2,1,112000,0,0,0
22,2,1,3,12,0,2,220013,0,0,0
16,3,1,1,10,0,0,220014,0,2,0
54,4,1,1,10,0,0,220014,0,2,0
14,6,1,2,9,2,0,551001,0,0,0
51,4,0,1,15,2,0,331009,2,2,0
56,5,0,1,4,0,0,331009,2,2,0
40,2,1,3,2,2,0,331009,0,0,0
25,5,1,3,2,2,0,331009,0,0,0
60,2,1,1,3,0,0,331009,0,0,0
15,4,1,1,3,0,0,331009,0,0,0
9,7,1,1,6,0,0,334003,0,0,0
53,4,2,1,14,0,0,336000,2,0,0
43,4,0,1,14,0,0,336000,2,0,0
32,2,1,2,5,1,0,330006,0,2,0
45,6,0,1,10,0,2,330002,2,2,0
68,7,1,1,6,0,0,332005,0,0,0
2,3,0,1,1,0,2,331010,2,0,0
52,4,1,1,14,0,1,334007,0,0,0
21,6,1,1,13,0,2,330001,0,0,0
6,6,1,3,12,0,2,330001,0,0,0
40,4,1,1,8,0,2,331010,0,1,0
28,0,1,1,14,0,2,330007,0,0,0
52,6,2,1,14,0,2,330007,1,0,0
13,3,1,1,1,0,2,330007,0,0,0
6,6,1,3,12,0,0,221006,0,0,0
11,5,0,2,7,0,0,221006,2,0,0
55,5,1,2,7,2,0,221006,0,0,0
39,6,1,1,6,0,0,221007,0,1,0
68,7,1,1,6,0,0,221007,0,1,0
18,2,0,3,2,0,0,221007,2,2,0
4,6,1,3,2,0,0,221007,0,0,0
18,5,1,3,2,0,0,221007,0,0,0
5,6,1,1,3,0,2,222000,0,0,0
39,1,1,1,6,0,2,222000,0,0,0
18,1,1,3,2,2,2,222000,0,0,0
57,2,1,2,9,0,0,334002,0,2,0
48,2,1,2,9,0,2,334000,0,2,0
15,6,0,2,9,0,2,334000,2,2,0
66,5,1,1,15,0,2,334000,0,1,0
26,0,1,3,11,1,2,332006,0,2,0
49,2,1,3,11,1,2,332006,0,2,0
18,6,1,1,8,0,1,221008,0,2,0
2,1,1,1,1,0,0,332019,0,0,0
39,4,1,1,6,0,0,334002,0,0,0
68,4,1,1,6,0,0,334002,0,0,0
58,4,1,2,16,1,0,335000,0,2,0
4,5,1,3,2,0,0,662000,0,2,0
59,4,1,2,9,2,2,332011,0,0,0
51,6,0,1,15,1,2,332011,2,2,0
7,5,1,2,5,2,0,332007,0,0,0
18,0,1,3,2,2,0,332007,0,0,0
38,2,0,2,7,0,0,331011,0,0,0
41,6,1,1,13,2,0,331011,0,0,0
16,0,0,1,10,0,0,662002,2,2,0
15,6,0,2,9,0,0,662002,2,1,0
24,5,1,3,2,0,0,662002,0,1,0
64,1,1,1,3,0,2,550003,0,2,0
64,1,1,1,3,0,2,550003,0,2,0
43,5,0,1,14,0,2,331011,2,0,0
26,4,1,3,11,1,2,331011,0,1,0
9,5,1,1,6,0,2,331011,0,0,0
7,2,0,2,5,2,2,331011,2,0,0
65,5,1,3,11,1,2,331006,0,0,0
31,5,1,2,7,2,0,662000,0,0,0
55,5,1,2,7,2,0,662000,0,0,0
54,2,1,1,10,0,0,552005,0,2,0
34,4,1,1,10,0,0,552005,0,2,0
54,4,1,1,10,0,0,552005,0,0,0
69,3,0,2,16,2,0,552005,2,2,0
58,7,0,2,16,2,0,552005,2,2,0
4,4,0,3,2,0,0,552005,2,0,0
13,6,0,1,1,0,0,552005,0,0,0
31,7,1,2,7,1,0,552005,0,0,0
68,7,1,1,6,0,0,550004,0,0,0
48,4,1,2,9,2,0,550004,0,0,0
57,5,1,2,9,2,0,550004,0,0,0
15,6,0,2,9,0,0,550004,0,0,0
29,0,1,1,8,0,0,550004,0,0,0
55,4,0,2,7,2,0,550004,2,0,0
6,5,0,1,4,0,2,111000,2,2,0
2,5,0,1,1,0,2,111000,0,0,0
62,4,0,1,15,1,0,222002,0,0,0
29,5,1,1,13,0,0,331003,0,0,0
21,2,1,1,13,0,0,331003,0,0,0
45,2,1,1,10,0,0,331003,0,2,0
48,6,1,2,9,2,0,331012,0,2,0
14,6,1,2,9,2,0,331012,0,2,0
15,6,1,1,3,0,0,331012,0,0,0
30,0,1,1,1,0,0,334004,0,0,0
30,4,0,1,1,0,0,332008,2,1,0
2,5,1,1,1,0,0,332008,0,1,0
3,0,1,1,1,0,0,332008,0,1,0
64,1,1,1,3,0,2,110000,0,0,0
22,0,1,1,13,0,2,113000,0,0,0
41,4,1,1,13,0,2,113000,0,0,0
60,4,1,1,3,0,0,335002,0,2,0
63,7,1,3,12,0,2,334002,0,0,0
36,5,1,2,16,2,2,334002,0,0,0
69,3,0,2,16,2,2,334002,2,0,0
66,4,1,1,15,1,0,113004,0,0,0
51,4,1,1,15,1,0,113004,0,0,0
29,2,1,1,8,0,1,332012,0,0,0
29,3,1,1,13,2,2,111000,0,2,0
29,6,1,1,13,0,0,335003,0,0,0
21,2,1,1,13,0,0,335003,0,0,0
23,4,0,3,12,0,0,112000,2,2,0
40,4,1,1,8,0,0,112000,0,0,0
18,6,1,1,8,0,0,112000,0,0,0
51,3,1,1,15,0,0,112000,0,0,0
61,4,0,1,15,0,0,112000,2,0,0
17,4,1,3,11,1,0,112000,0,0,0
49,3,0,3,11,2,0,112000,2,0,0
37,4,1,2,16,1,0,332019,0,2,0
23,4,1,1,13,0,0,331013,0,0,0
41,7,1,1,13,0,0,331013,0,0,0
40,1,0,3,2,0,0,331013,2,1,0
25,4,0,3,2,0,0,331013,2,1,0
22,6,1,1,13,2,0,331013,0,2,0
42,7,1,1,4,0,0,331013,0,2,0
6,4,1,1,4,0,0,331013,0,2,0
29,3,1,1,8,0,0,331013,0,2,0
62,4,0,1,15,2,2,220015,2,2,0
4,6,1,1,8,0,2,220015,0,2,0
40,4,1,1,8,0,2,220015,0,2,0
28,4,1,1,14,0,1,551000,0,1,0
43,5,2,1,14,0,1,551000,1,1,0
15,1,1,2,9,2,2,220013,0,0,0
55,7,1,2,7,2,2,220013,0,0,0
12,5,1,2,7,2,2,220013,0,0,0
11,3,1,2,7,2,2,220013,0,0,0
60,5,1,1,3,0,2,662000,0,2,0
18,2,0,3,2,2,2,662000,2,0,0
49,5,1,3,11,2,2,552001,0,0,0
49,5,1,3,11,2,2,552001,0,0,0
16,4,1,1,10,0,2,552001,0,0,0
29,5,1,1,8,0,2,552001,0,0,0
22,4,1,1,13,0,1,112001,0,0,0
46,5,0,2,5,2,1,112001,0,2,0
4,5,1,1,8,0,0,334005,0,1,0
30,4,1,1,1,0,2,660000,0,0,0
9,6,1,1,6,0,2,331014,0,0,0
3,7,0,1,1,0,1,333000,2,0,0
4,4,1,3,2,0,0,221001,0,0,0
40,5,1,3,2,0,0,221001,0,0,0
1,0,1,1,1,0,0,221001,0,2,0
18,2,1,3,2,0,0,221001,0,2,0
4,2,1,3,2,0,0,221001,0,2,0
40,3,1,3,2,0,0,221001,0,2,0
53,5,2,1,14,0,1,330008,1,0,0
12,0,1,2,7,2,0,332013,0,1,0
2,5,1,1,1,0,0,332013,0,1,0
57,4,1,2,9,2,0,333000,0,2,0
49,2,1,3,11,1,2,222007,0,0,0
64,2,1,1,3,0,2,222007,0,0,0
17,7,1,3,11,1,2,222007,0,2,0
70,5,0,3,17,2,0,331000,2,2,0
43,4,1,1,14,0,0,111000,0,2,0
56,7,0,1,4,0,2,660004,0,0,0
8,6,1,2,5,1,2,111001,0,0,0
16,2,1,1,10,0,2,111001,0,0,0
67,3,1,1,10,0,2,111001,0,0,0
1,2,0,1,1,0,2,111001,2,0,0
2,4,1,1,1,0,2,111001,0,0,0
13,3,0,1,1,0,2,111001,2,0,0
68,4,1,1,6,0,2,111001,0,2,0
13,6,1,1,1,0,2,331013,0,0,0
46,2,0,2,5,2,2,334006,2,0,0
55,3,1,2,7,2,2,221020,0,0,0
11,4,1,2,7,2,2,221020,0,0,0
38,6,0,2,7,2,2,221020,0,0,0
10,6,1,1,6,0,0,331014,0,2,0
35,5,1,3,11,1,0,112001,0,0,0
49,5,1,3,11,1,0,112001,0,0,0
65,4,1,3,11,1,0,112001,0,0,0
13,6,0,1,1,0,0,553001,0,0,0
68,4,1,1,6,0,0,553001,0,2,0
39,6,1,1,6,0,0,553001,0,2,0
45,4,1,1,10,0,2,662001,0,0,0
67,6,1,1,10,0,2,662001,0,0,0
34,6,0,1,10,0,2,662001,2,0,0
3,4,1,1,1,0,2,660000,0,2,0
4,6,1,3,2,0,1,660002,0,2,0
4,7,0,3,2,2,2,114002,2,0,0
24,5,1,3,2,2,2,114002,0,0,0
12,2,0,2,7,0,1,550005,2,0,0
20,4,1,3,12,2,2,334007,0,2,0
50,4,1,1,6,0,2,553002,0,0,0
68,4,1,1,6,0,2,334008,0,1,0
9,5,1,1,6,0,2,334008,0,1,0
7,3,1,2,5,1,2,334008,0,0,0
32,4,0,2,5,2,2,334008,0,0,0
17,3,1,3,11,2,2,334008,0,1,0
65,3,1,3,11,2,2,334008,0,1,0
49,4,1,3,11,2,2,334008,0,2,0
